Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
211,-90.152279,0,0,0,0,0,-34.804664,-45.846953,0,0,0,0,0,0
212,-90.085824,0,0,0,0,0,-34.779008,-45.813158,0,0,0,0,0,0
213,-90.019369,0,0,0,0,0,-34.753352,-45.779362,0,0,0,0,0,0
214,-89.952914,0,0,0,0,0,-34.727696,-45.745566,0,0,0,0,0,0
215,-89.886459,0,0,0,0,0,-34.70204,-45.711771,0,0,0,0,0,0
216,-89.820004,0,0,0,0,0,-34.676385,-45.677975,0,0,0,0,0,0
217,-89.753549,0,0,0,0,0,-34.650729,-45.644179,0,0,0,0,0,0
218,-89.687095,0,0,0,0,0,-34.625073,-45.610384,0,0,0,0,0,0
219,-89.62064,0,0,0,0,0,-34.599417,-45.576588,0,0,0,0,0,0
220,-89.554185,0,0,0,0,0,-34.573761,-45.542792,0,0,0,0,0,0
221,-89.48773,0,0,0,0,0,-34.548105,-45.508997,0,0,0,0,0,0
222,-89.421275,0,0,0,0,0,-34.522449,-45.475201,0,0,0,0,0,0
223,-89.35482,0,0,0,0,0,-34.496793,-45.441405,0,0,0,0,0,0
224,-89.288365,0,0,0,0,0,-34.471137,-45.40761,0,0,0,0,0,0
225,-89.22191,0,0,0,0,0,-34.445481,-45.373814,0,0,0,0,0,0
226,-89.155455,0,0,0,0,0,-34.419825,-45.340018,0,0,0,0,0,0
227,-89.089,0,0,0,0,0,-34.394169,-45.306223,0,0,0,0,0,0
228,-89.022545,0,0,0,0,0,-34.368513,-45.272427,0,0,0,0,0,0
229,-88.95609,0,0,0,0,0,-34.342857,-45.238631,0,0,0,0,0,0
230,-88.889635,0,0,0,0,0,-34.317201,-45.204836,0,0,0,0,0,0
231,-88.82318,0,0,0,0,0,-34.291545,-45.17104,0,0,0,0,0,0
232,-88.756725,0,0,0,0,0,-34.265889,-45.137244,0,0,0,0,0,0
233,-88.69027,0,0,0,0,0,-34.240233,-45.103449,0,0,0,0,0,0
234,-88.623815,0,0,0,0,0,-34.214577,-45.069653,0,0,0,0,0,0
235,-88.55736,0,0,0,0,0,-34.188922,-45.035857,0,0,0,0,0,0
236,-88.490906,0,0,0,0,0,-34.163266,-45.002062,0,0,0,0,0,0
237,-88.424451,0,0,0,0,0,-34.13761,-44.968266,0,0,0,0,0,0
238,-88.357996,0,0,0,0,0,-34.111954,-44.93447,0,0,0,0,0,0
239,-88.291541,0,0,0,0,0,-34.086298,-44.900675,0,0,0,0,0,0
240,-88.225086,0,0,0,0,0,-34.060642,-44.866879,0,0,0,0,0,0
241,-88.158631,0,0,0,0,0,-34.034986,-44.833083,0,0,0,0,0,0
242,-88.092176,0,0,0,0,0,-34.00933,-44.799288,0,0,0,0,0,0
243,-88.025721,0,0,0,0,0,-33.983674,-44.765492,0,0,0,0,0,0
244,-87.959266,0,0,0,0,0,-33.958018,-44.731696,0,0,0,0,0,0
245,-87.892811,0,0,0,0,0,-33.932362,-44.697901,0,0,0,0,0,0
246,-87.826356,0,0,0,0,0,-33.906706,-44.664105,0,0,0,0,0,0
247,-87.759901,0,0,0,0,0,-33.88105,-44.630309,0,0,0,0,0,0
248,-87.693446,0,0,0,0,0,-33.855394,-44.596514,0,0,0,0,0,0
249,-87.626991,0,0,0,0,0,-33.829738,-44.562718,0,0,0,0,0,0
250,-87.560536,0,0,0,0,0,-33.804082,-44.528922,0,0,0,0,0,0
251,-87.394833,0,0,0,0,0,-33.74011,-44.444654,0,0,0,0,0,0
252,-87.22913,0,0,0,0,0,-33.676138,-44.360386,0,0,0,0,0,0
253,-87.063427,0,0,0,0,0,-33.612166,-44.276117,0,0,0,0,0,0
254,-86.897724,0,0,0,0,0,-33.548194,-44.191849,0,0,0,0,0,0
255,-86.732022,0,0,0,0,0,-33.484222,-44.107581,0,0,0,0,0,0
256,-86.566319,0,0,0,0,0,-33.420249,-44.023313,0,0,0,0,0,0
257,-86.400616,0,0,0,0,0,-33.356277,-43.939044,0,0,0,0,0,0
258,-86.234913,0,0,0,0,0,-33.292305,-43.854776,0,0,0,0,0,0
259,-86.06921,0,0,0,0,0,-33.228333,-43.770508,0,0,0,0,0,0
260,-85.903507,0,0,0,0,0,-33.164361,-43.68624,0,0,0,0,0,0
261,-85.737804,0,0,0,0,0,-33.100389,-43.601971,0,0,0,0,0,0
262,-85.572101,0,0,0,0,0,-33.036416,-43.517703,0,0,0,0,0,0
263,-85.406398,0,0,0,0,0,-32.972444,-43.433435,0,0,0,0,0,0
264,-85.240695,0,0,0,0,0,-32.908472,-43.349167,0,0,0,0,0,0
265,-85.074992,0,0,0,0,0,-32.8445,-43.264898,0,0,0,0,0,0
266,-84.909289,0,0,0,0,0,-32.780528,-43.18063,0,0,0,0,0,0
267,-84.743586,0,0,0,0,0,-32.716556,-43.096362,0,0,0,0,0,0
268,-84.577883,0,0,0,0,0,-32.652584,-43.012094,0,0,0,0,0,0
269,-84.41218,0,0,0,0,0,-32.588611,-42.927825,0,0,0,0,0,0
270,-84.246477,0,0,0,0,0,-32.524639,-42.843557,0,0,0,0,0,0
271,-84.080774,0,0,0,0,0,-32.460667,-42.759289,0,0,0,0,0,0
272,-83.915071,0,0,0,0,0,-32.396695,-42.675021,0,0,0,0,0,0
273,-83.749369,0,0,0,0,0,-32.332723,-42.590752,0,0,0,0,0,0
274,-83.583666,0,0,0,0,0,-32.268751,-42.506484,0,0,0,0,0,0
275,-83.417963,0,0,0,0,0,-32.204779,-42.422216,0,0,0,0,0,0
276,-83.25226,0,0,0,0,0,-32.140806,-42.337948,0,0,0,0,0,0
277,-83.086557,0,0,0,0,0,-32.076834,-42.253679,0,0,0,0,0,0
278,-82.920854,0,0,0,0,0,-32.012862,-42.169411,0,0,0,0,0,0
279,-82.755151,0,0,0,0,0,-31.94889,-42.085143,0,0,0,0,0,0
280,-82.589448,0,0,0,0,0,-31.884918,-42.000875,0,0,0,0,0,0
281,-82.423745,0,0,0,0,0,-31.820946,-41.916606,0,0,0,0,0,0
282,-82.258042,0,0,0,0,0,-31.756973,-41.832338,0,0,0,0,0,0
283,-82.092339,0,0,0,0,0,-31.693001,-41.74807,0,0,0,0,0,0
284,-81.926636,0,0,0,0,0,-31.629029,-41.663802,0,0,0,0,0,0
285,-81.760933,0,0,0,0,0,-31.565057,-41.579533,0,0,0,0,0,0
286,-81.59523,0,0,0,0,0,-31.501085,-41.495265,0,0,0,0,0,0
287,-81.429527,0,0,0,0,0,-31.437113,-41.410997,0,0,0,0,0,0
288,-81.263824,0,0,0,0,0,-31.373141,-41.326729,0,0,0,0,0,0
289,-81.098121,0,0,0,0,0,-31.309168,-41.24246,0,0,0,0,0,0
290,-80.932418,0,0,0,0,0,-31.245196,-41.158192,0,0,0,0,0,0
291,-80.766716,0,0,0,0,0,-31.181224,-41.073924,0,0,0,0,0,0
292,-80.601013,0,0,0,0,0,-31.117252,-40.989656,0,0,0,0,0,0
293,-80.43531,0,0,0,0,0,-31.05328,-40.905387,0,0,0,0,0,0
294,-80.269607,0,0,0,0,0,-30.989308,-40.821119,0,0,0,0,0,0
295,-80.103904,0,0,0,0,0,-30.925335,-40.736851,0,0,0,0,0,0
296,-79.938201,0,0,0,0,0,-30.861363,-40.652583,0,0,0,0,0,0
297,-79.772498,0,0,0,0,0,-30.797391,-40.568314,0,0,0,0,0,0
298,-79.606795,0,0,0,0,0,-30.733419,-40.484046,0,0,0,0,0,0
299,-79.441092,0,0,0,0,0,-30.669447,-40.399778,0,0,0,0,0,0
300,-79.275389,0,0,0,0,0,-30.605475,-40.31551,0,0,0,0,0,0
301,-79.109686,0,0,0,0,0,-30.541503,-40.231241,0,0,0,0,0,0
302,-78.943983,0,0,0,0,0,-30.47753,-40.146973,0,0,0,0,0,0
303,-78.77828,0,0,0,0,0,-30.413558,-40.062705,0,0,0,0,0,0
304,-78.612577,0,0,0,0,0,-30.349586,-39.978437,0,0,0,0,0,0
305,-78.446874,0,0,0,0,0,-30.285614,-39.894168,0,0,0,0,0,0
306,-78.281171,0,0,0,0,0,-30.221642,-39.8099,0,0,0,0,0,0
307,-78.115468,0,0,0,0,0,-30.15767,-39.725632,0,0,0,0,0,0
308,-77.949765,0,0,0,0,0,-30.093697,-39.641363,0,0,0,0,0,0
309,-77.784063,0,0,0,0,0,-30.029725,-39.557095,0,0,0,0,0,0
310,-77.61836,0,0,0,0,0,-29.965753,-39.472827,0,0,0,0,0,0
311,-77.452657,0,0,0,0,0,-29.901781,-39.388559,0,0,0,0,0,0
312,-77.286954,0,0,0,0,0,-29.837809,-39.30429,0,0,0,0,0,0
313,-77.121251,0,0,0,0,0,-29.773837,-39.220022,0,0,0,0,0,0
