Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
45,-95.677855,0,0,0,0,0,0,0,0,-3.8096956,-1.6410786,0,0,0,0,0,-4.6444577,-46.128714,-45.809296,0,0,0,0,0,-0.10168049,-2.3084334,0,0,0,0,0,0,0,0,0
46,-95.669357,0,0,0,0,0,0,0,0,-3.8093573,-1.6409328,0,0,0,0,0,-4.6440452,-46.124617,-45.805228,0,0,0,0,0,-0.10167146,-2.3082284,0,0,0,0,0,0,0,0,0
47,-95.660859,0,0,0,0,0,0,0,0,-3.8090189,-1.6407871,0,0,0,0,0,-4.6436327,-46.12052,-45.801159,0,0,0,0,0,-0.10166243,-2.3080233,0,0,0,0,0,0,0,0,0
48,-95.652361,0,0,0,0,0,0,0,0,-3.8086805,-1.6406413,0,0,0,0,0,-4.6432202,-46.116423,-45.797091,0,0,0,0,0,-0.1016534,-2.3078183,0,0,0,0,0,0,0,0,0
49,-95.643864,0,0,0,0,0,0,0,0,-3.8083422,-1.6404956,0,0,0,0,0,-4.6428077,-46.112327,-45.793022,0,0,0,0,0,-0.10164437,-2.3076133,0,0,0,0,0,0,0,0,0
50,-95.635366,0,0,0,0,0,0,0,0,-3.8080038,-1.6403498,0,0,0,0,0,-4.6423952,-46.10823,-45.788953,0,0,0,0,0,-0.10163534,-2.3074083,0,0,0,0,0,0,0,0,0
51,-95.626868,0,0,0,0,0,0,0,0,-3.8076655,-1.6402041,0,0,0,0,0,-4.6419827,-46.104133,-45.784885,0,0,0,0,0,-0.10162631,-2.3072032,0,0,0,0,0,0,0,0,0
52,-95.618371,0,0,0,0,0,0,0,0,-3.8073271,-1.6400583,0,0,0,0,0,-4.6415702,-46.100036,-45.780816,0,0,0,0,0,-0.10161728,-2.3069982,0,0,0,0,0,0,0,0,0
53,-95.609873,0,0,0,0,0,0,0,0,-3.8069887,-1.6399125,0,0,0,0,0,-4.6411577,-46.095939,-45.776748,0,0,0,0,0,-0.10160825,-2.3067932,0,0,0,0,0,0,0,0,0
54,-95.601375,0,0,0,0,0,0,0,0,-3.8066504,-1.6397668,0,0,0,0,0,-4.6407452,-46.091842,-45.772679,0,0,0,0,0,-0.10159921,-2.3065882,0,0,0,0,0,0,0,0,0
55,-95.592878,0,0,0,0,0,0,0,0,-3.806312,-1.639621,0,0,0,0,0,-4.6403327,-46.087745,-45.76861,0,0,0,0,0,-0.10159018,-2.3063831,0,0,0,0,0,0,0,0,0
56,-95.58438,0,0,0,0,0,0,0,0,-3.8059737,-1.6394753,0,0,0,0,0,-4.6399202,-46.083648,-45.764542,0,0,0,0,0,-0.10158115,-2.3061781,0,0,0,0,0,0,0,0,0
57,-95.575882,0,0,0,0,0,0,0,0,-3.8056353,-1.6393295,0,0,0,0,0,-4.6395077,-46.079551,-45.760473,0,0,0,0,0,-0.10157212,-2.3059731,0,0,0,0,0,0,0,0,0
58,-95.567385,0,0,0,0,0,0,0,0,-3.8052969,-1.6391838,0,0,0,0,0,-4.6390952,-46.075454,-45.756405,0,0,0,0,0,-0.10156309,-2.3057681,0,0,0,0,0,0,0,0,0
59,-95.558887,0,0,0,0,0,0,0,0,-3.8049586,-1.639038,0,0,0,0,0,-4.6386827,-46.071357,-45.752336,0,0,0,0,0,-0.10155406,-2.305563,0,0,0,0,0,0,0,0,0
60,-95.550389,0,0,0,0,0,0,0,0,-3.8046202,-1.6388923,0,0,0,0,0,-4.6382702,-46.06726,-45.748268,0,0,0,0,0,-0.10154503,-2.305358,0,0,0,0,0,0,0,0,0
61,-95.541892,0,0,0,0,0,0,0,0,-3.8042819,-1.6387465,0,0,0,0,0,-4.6378577,-46.063163,-45.744199,0,0,0,0,0,-0.101536,-2.305153,0,0,0,0,0,0,0,0,0
62,-95.533394,0,0,0,0,0,0,0,0,-3.8039435,-1.6386008,0,0,0,0,0,-4.6374452,-46.059066,-45.74013,0,0,0,0,0,-0.10152697,-2.304948,0,0,0,0,0,0,0,0,0
63,-95.524896,0,0,0,0,0,0,0,0,-3.8036051,-1.638455,0,0,0,0,0,-4.6370327,-46.054969,-45.736062,0,0,0,0,0,-0.10151794,-2.3047429,0,0,0,0,0,0,0,0,0
64,-95.516398,0,0,0,0,0,0,0,0,-3.8032668,-1.6383093,0,0,0,0,0,-4.6366202,-46.050872,-45.731993,0,0,0,0,0,-0.10150891,-2.3045379,0,0,0,0,0,0,0,0,0
65,-95.507901,0,0,0,0,0,0,0,0,-3.8029284,-1.6381635,0,0,0,0,0,-4.6362077,-46.046775,-45.727925,0,0,0,0,0,-0.10149988,-2.3043329,0,0,0,0,0,0,0,0,0
66,-95.499403,0,0,0,0,0,0,0,0,-3.8025901,-1.6380178,0,0,0,0,0,-4.6357952,-46.042678,-45.723856,0,0,0,0,0,-0.10149084,-2.3041279,0,0,0,0,0,0,0,0,0
67,-95.490905,0,0,0,0,0,0,0,0,-3.8022517,-1.637872,0,0,0,0,0,-4.6353827,-46.038581,-45.719787,0,0,0,0,0,-0.10148181,-2.3039228,0,0,0,0,0,0,0,0,0
68,-95.482408,0,0,0,0,0,0,0,0,-3.8019133,-1.6377262,0,0,0,0,0,-4.6349702,-46.034484,-45.715719,0,0,0,0,0,-0.10147278,-2.3037178,0,0,0,0,0,0,0,0,0
69,-95.47391,0,0,0,0,0,0,0,0,-3.801575,-1.6375805,0,0,0,0,0,-4.6345577,-46.030388,-45.71165,0,0,0,0,0,-0.10146375,-2.3035128,0,0,0,0,0,0,0,0,0
70,-95.465412,0,0,0,0,0,0,0,0,-3.8012366,-1.6374347,0,0,0,0,0,-4.6341452,-46.026291,-45.707582,0,0,0,0,0,-0.10145472,-2.3033078,0,0,0,0,0,0,0,0,0
71,-95.456915,0,0,0,0,0,0,0,0,-3.8008983,-1.637289,0,0,0,0,0,-4.6337327,-46.022194,-45.703513,0,0,0,0,0,-0.10144569,-2.3031027,0,0,0,0,0,0,0,0,0
