Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa)
70,-4.4766212,0,0,0,0,0,0,0,0,-0.16962883,-0.22660345,0,0,0,0,0,0,-0.3604061,-4.0307267,-2.1861802,-0.020397024,0,0,0,0,-0.1331508,-0.52763721,-0.21816431,0,0,0,0,0,0,0,0,0,0
71,-4.4948654,0,0,0,0,0,0,0,0,-0.17032014,-0.22752696,0,0,0,0,0,0,-0.36187491,-4.0471537,-2.1950898,-0.020480151,0,0,0,0,-0.13369345,-0.52978756,-0.21905342,0,0,0,0,0,0,0,0,0,0
72,-4.5131096,0,0,0,0,0,0,0,0,-0.17101145,-0.22845047,0,0,0,0,0,0,-0.36334372,-4.0635807,-2.2039995,-0.020563278,0,0,0,0,-0.13423609,-0.53193792,-0.21994254,0,0,0,0,0,0,0,0,0,0
73,-4.5313538,0,0,0,0,0,0,0,0,-0.17170277,-0.22937397,0,0,0,0,0,0,-0.36481254,-4.0800076,-2.2129091,-0.020646405,0,0,0,0,-0.13477874,-0.53408827,-0.22083166,0,0,0,0,0,0,0,0,0,0
74,-4.549598,0,0,0,0,0,0,0,0,-0.17239408,-0.23029748,0,0,0,0,0,0,-0.36628135,-4.0964346,-2.2218188,-0.020729532,0,0,0,0,-0.13532139,-0.53623862,-0.22172077,0,0,0,0,0,0,0,0,0,0
75,-4.5678422,0,0,0,0,0,0,0,0,-0.17308539,-0.23122099,0,0,0,0,0,0,-0.36775016,-4.1128616,-2.2307284,-0.020812659,0,0,0,0,-0.13586404,-0.53838898,-0.22260989,0,0,0,0,0,0,0,0,0,0
76,-4.5860864,0,0,0,0,0,0,0,0,-0.1737767,-0.2321445,0,0,0,0,0,0,-0.36921898,-4.1292886,-2.2396381,-0.020895786,0,0,0,0,-0.13640669,-0.54053933,-0.223499,0,0,0,0,0,0,0,0,0,0
77,-4.6043306,0,0,0,0,0,0,0,0,-0.17446801,-0.23306801,0,0,0,0,0,0,-0.37068779,-4.1457156,-2.2485477,-0.020978912,0,0,0,0,-0.13694933,-0.54268969,-0.22438812,0,0,0,0,0,0,0,0,0,0
78,-4.6225748,0,0,0,0,0,0,0,0,-0.17515933,-0.23399152,0,0,0,0,0,0,-0.37215661,-4.1621426,-2.2574573,-0.021062039,0,0,0,0,-0.13749198,-0.54484004,-0.22527723,0,0,0,0,0,0,0,0,0,0
79,-4.640819,0,0,0,0,0,0,0,0,-0.17585064,-0.23491503,0,0,0,0,0,0,-0.37362542,-4.1785696,-2.266367,-0.021145166,0,0,0,0,-0.13803463,-0.54699039,-0.22616635,0,0,0,0,0,0,0,0,0,0
80,-4.6590632,0,0,0,0,0,0,0,0,-0.17654195,-0.23583854,0,0,0,0,0,0,-0.37509423,-4.1949965,-2.2752766,-0.021228293,0,0,0,0,-0.13857728,-0.54914075,-0.22705547,0,0,0,0,0,0,0,0,0,0
81,-4.6773074,0,0,0,0,0,0,0,0,-0.17723326,-0.23676205,0,0,0,0,0,0,-0.37656305,-4.2114235,-2.2841863,-0.02131142,0,0,0,0,-0.13911993,-0.5512911,-0.22794458,0,0,0,0,0,0,0,0,0,0
82,-4.6955516,0,0,0,0,0,0,0,0,-0.17792458,-0.23768555,0,0,0,0,0,0,-0.37803186,-4.2278505,-2.2930959,-0.021394547,0,0,0,0,-0.13966257,-0.55344146,-0.2288337,0,0,0,0,0,0,0,0,0,0
83,-4.7137958,0,0,0,0,0,0,0,0,-0.17861589,-0.23860906,0,0,0,0,0,0,-0.37950067,-4.2442775,-2.3020056,-0.021477674,0,0,0,0,-0.14020522,-0.55559181,-0.22972281,0,0,0,0,0,0,0,0,0,0
84,-4.73204,0,0,0,0,0,0,0,0,-0.1793072,-0.23953257,0,0,0,0,0,0,-0.38096949,-4.2607045,-2.3109152,-0.0215608,0,0,0,0,-0.14074787,-0.55774216,-0.23061193,0,0,0,0,0,0,0,0,0,0
85,-4.7502842,0,0,0,0,0,0,0,0,-0.17999851,-0.24045608,0,0,0,0,0,0,-0.3824383,-4.2771315,-2.3198249,-0.021643927,0,0,0,0,-0.14129052,-0.55989252,-0.23150104,0,0,0,0,0,0,0,0,0,0
86,-4.7685284,0,0,0,0,0,0,0,0,-0.18068982,-0.24137959,0,0,0,0,0,0,-0.38390711,-4.2935585,-2.3287345,-0.021727054,0,0,0,0,-0.14183317,-0.56204287,-0.23239016,0,0,0,0,0,0,0,0,0,0
