Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa)
56,0.85251544,0,0,0,0,0,0,0,0,0,0,0.002479051,0,0,0,0,0,0.1098794,0.3359408,0.045231941,0,0,0,0,0.13733175,0.40900336,0.060520436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.99991573,0,0,0,0,0,0,0,0,0,0,0.00290768,0,0,0,0,0,0.1288776,0.39402511,0.053052562,0,0,0,0,0.16107647,0.47972021,0.070984445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1.147316,0,0,0,0,0,0,0,0,0,0,0.003336309,0,0,0,0,0,0.1478758,0.45210941,0.060873184,0,0,0,0,0.18482119,0.55043707,0.081448454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1.2947163,0,0,0,0,0,0,0,0,0,0,0.0037649379,0,0,0,0,0,0.16687399,0.51019372,0.068693806,0,0,0,0,0.2085659,0.62115392,0.091912463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1.4421166,0,0,0,0,0,0,0,0,0,0,0.0041935669,0,0,0,0,0,0.18587219,0.56827803,0.076514428,0,0,0,0,0.23231062,0.69187078,0.10237647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.5895169,0,0,0,0,0,0,0,0,0,0,0.0046221959,0,0,0,0,0,0.20487038,0.62636234,0.08433505,0,0,0,0,0.25605534,0.76258763,0.11284048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1.7369171,0,0,0,0,0,0,0,0,0,0,0.0050508249,0,0,0,0,0,0.22386858,0.68444664,0.092155671,0,0,0,0,0.27980006,0.83330449,0.12330449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1.8843174,0,0,0,0,0,0,0,0,0,0,0.0054794538,0,0,0,0,0,0.24286678,0.74253095,0.099976293,0,0,0,0,0.30354478,0.90402134,0.1337685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2.0317177,0,0,0,0,0,0,0,0,0,0,0.0059080828,0,0,0,0,0,0.26186497,0.80061526,0.10779692,0,0,0,0,0.3272895,0.9747382,0.14423251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2.179118,0,0,0,0,0,0,0,0,0,0,0.0063367118,0,0,0,0,0,0.28086317,0.85869957,0.11561754,0,0,0,0,0.35103421,1.0454551,0.15469652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2.3265183,0,0,0,0,0,0,0,0,0,0,0.0067653408,0,0,0,0,0,0.29986136,0.91678387,0.12343816,0,0,0,0,0.37477893,1.1161719,0.16516053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2.4739186,0,0,0,0,0,0,0,0,0,0,0.0071939697,0,0,0,0,0,0.31885956,0.97486818,0.13125878,0,0,0,0,0.39852365,1.1868888,0.17562454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2.6213188,0,0,0,0,0,0,0,0,0,0,0.0076225987,0,0,0,0,0,0.33785776,1.0329525,0.1390794,0,0,0,0,0.42226837,1.2576056,0.18608855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2.7687191,0,0,0,0,0,0,0,0,0,0,0.0080512277,0,0,0,0,0,0.35685595,1.0910368,0.14690002,0,0,0,0,0.44601309,1.3283225,0.19655255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2.9161194,0,0,0,0,0,0,0,0,0,0,0.0084798567,0,0,0,0,0,0.37585415,1.1491211,0.15472065,0,0,0,0,0.4697578,1.3990393,0.20701656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3.0635197,0,0,0,0,0,0,0,0,0,0,0.0089084856,0,0,0,0,0,0.39485234,1.2072054,0.16254127,0,0,0,0,0.49350252,1.4697562,0.21748057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3.21092,0,0,0,0,0,0,0,0,0,0,0.0093371146,0,0,0,0,0,0.41385054,1.2652897,0.17036189,0,0,0,0,0.51724724,1.540473,0.22794458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,3.3583203,0,0,0,0,0,0,0,0,0,0,0.0097657436,0,0,0,0,0,0.43284874,1.323374,0.17818251,0,0,0,0,0.54099196,1.6111899,0.23840859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3.5057206,0,0,0,0,0,0,0,0,0,0,0.010194373,0,0,0,0,0,0.45184693,1.3814583,0.18600313,0,0,0,0,0.56473668,1.6819067,0.2488726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3.6531208,0,0,0,0,0,0,0,0,0,0,0.010623002,0,0,0,0,0,0.47084513,1.4395426,0.19382376,0,0,0,0,0.5884814,1.7526236,0.25933661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,3.8005211,0,0,0,0,0,0,0,0,0,0,0.011051631,0,0,0,0,0,0.48984332,1.4976269,0.20164438,0,0,0,0,0.61222611,1.8233405,0.26980062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3.9479214,0,0,0,0,0,0,0,0,0,0,0.011480259,0,0,0,0,0,0.50884152,1.5557113,0.209465,0,0,0,0,0.63597083,1.8940573,0.28026463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4.0953217,0,0,0,0,0,0,0,0,0,0,0.011908888,0,0,0,0,0,0.52783972,1.6137956,0.21728562,0,0,0,0,0.65971555,1.9647742,0.29072864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4.242722,0,0,0,0,0,0,0,0,0,0,0.012337517,0,0,0,0,0,0.54683791,1.6718799,0.22510624,0,0,0,0,0.68346027,2.035491,0.30119265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4.3901223,0,0,0,0,0,0,0,0,0,0,0.012766146,0,0,0,0,0,0.56583611,1.7299642,0.23292686,0,0,0,0,0.70720499,2.1062079,0.31165666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4.5375225,0,0,0,0,0,0,0,0,0,0,0.013194775,0,0,0,0,0,0.5848343,1.7880485,0.24074749,0,0,0,0,0.7309497,2.1769247,0.32212066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4.6849228,0,0,0,0,0,0,0,0,0,0,0.013623404,0,0,0,0,0,0.6038325,1.8461328,0.24856811,0,0,0,0,0.75469442,2.2476416,0.33258467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4.8323231,0,0,0,0,0,0,0,0,0,0,0.014052033,0,0,0,0,0,0.6228307,1.9042171,0.25638873,0,0,0,0,0.77843914,2.3183584,0.34304868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4.9797234,0,0,0,0,0,0,0,0,0,0,0.014480662,0,0,0,0,0,0.64182889,1.9623014,0.26420935,0,0,0,0,0.80218386,2.3890753,0.35351269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,5.1271237,0,0,0,0,0,0,0,0,0,0,0.014909291,0,0,0,0,0,0.66082709,2.0203857,0.27202997,0,0,0,0,0.82592858,2.4597921,0.3639767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,5.274524,0,0,0,0,0,0,0,0,0,0,0.01533792,0,0,0,0,0,0.67982528,2.07847,0.2798506,0,0,0,0,0.8496733,2.530509,0.37444071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,5.4219242,0,0,0,0,0,0,0,0,0,0,0.015766549,0,0,0,0,0,0.69882348,2.1365543,0.28767122,0,0,0,0,0.87341801,2.6012259,0.38490472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,5.5693245,0,0,0,0,0,0,0,0,0,0,0.016195178,0,0,0,0,0,0.71782167,2.1946386,0.29549184,0,0,0,0,0.89716273,2.6719427,0.39536873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,5.7167248,0,0,0,0,0,0,0,0,0,0,0.016623807,0,0,0,0,0,0.73681987,2.2527229,0.30331246,0,0,0,0,0.92090745,2.7426596,0.40583274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5.8641251,0,0,0,0,0,0,0,0,0,0,0.017052436,0,0,0,0,0,0.75581807,2.3108073,0.31113308,0,0,0,0,0.94465217,2.8133764,0.41629675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6.0115254,0,0,0,0,0,0,0,0,0,0,0.017481065,0,0,0,0,0,0.77481626,2.3688916,0.3189537,0,0,0,0,0.96839689,2.8840933,0.42676076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,6.1589257,0,0,0,0,0,0,0,0,0,0,0.017909694,0,0,0,0,0,0.79381446,2.4269759,0.32677433,0,0,0,0,0.99214161,2.9548101,0.43722477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,6.3063259,0,0,0,0,0,0,0,0,0,0,0.018338323,0,0,0,0,0,0.81281265,2.4850602,0.33459495,0,0,0,0,1.0158863,3.025527,0.44768878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,6.4537262,0,0,0,0,0,0,0,0,0,0,0.018766952,0,0,0,0,0,0.83181085,2.5431445,0.34241557,0,0,0,0,1.039631,3.0962438,0.45815278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,6.6011265,0,0,0,0,0,0,0,0,0,0,0.019195581,0,0,0,0,0,0.85080905,2.6012288,0.35023619,0,0,0,0,1.0633758,3.1669607,0.46861679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
