Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa)
30,-3.7150649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2676043,-1.1913078,-1.0807645,-0.3025931,0,0,0,0,0,0,0,0,-0.10626516,-1.7660992,-3.6396903,-2.4240012,-0.54716935,0,0,0,0,0,0,0,-0.15864664,-0.63549696,-1.0696302,-0.84426854,-0.12075389,0,0,0,0,0,0,0,0,0,-0.017136552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-3.7650929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27120793,-1.2073503,-1.0953184,-0.3066679,0,0,0,0,0,0,0,0,-0.10769616,-1.7898819,-3.6887034,-2.4566435,-0.55453768,0,0,0,0,0,0,0,-0.16078302,-0.64405473,-1.0840341,-0.85563768,-0.12238,0,0,0,0,0,0,0,0,0,-0.017367317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-3.7833415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27252242,-1.2132021,-1.1006271,-0.30815425,0,0,0,0,0,0,0,0,-0.10821813,-1.7985571,-3.7065817,-2.4685503,-0.5572254,0,0,0,0,0,0,0,-0.16156229,-0.64717632,-1.0892881,-0.85978476,-0.12297315,0,0,0,0,0,0,0,0,0,-0.017451493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-3.8015857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27383659,-1.2190524,-1.1059346,-0.30964025,0,0,0,0,0,0,0,0,-0.10873999,-1.8072302,-3.7244557,-2.4804542,-0.55991248,0,0,0,0,0,0,0,-0.16234139,-0.65029716,-1.094541,-0.86393086,-0.12356615,0,0,0,0,0,0,0,0,0,-0.017535648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-3.8198299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27515076,-1.2249028,-1.1112421,-0.31112624,0,0,0,0,0,0,0,0,-0.10926184,-1.8159033,-3.7423298,-2.4923582,-0.56259955,0,0,0,0,0,0,0,-0.16312048,-0.65341801,-1.0997938,-0.86807695,-0.12415916,0,0,0,0,0,0,0,0,0,-0.017619803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-3.8380741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27646493,-1.2307531,-1.1165496,-0.31261224,0,0,0,0,0,0,0,0,-0.1097837,-1.8245764,-3.7602038,-2.5042621,-0.56528663,0,0,0,0,0,0,0,-0.16389957,-0.65653885,-1.1050466,-0.87222304,-0.12475217,0,0,0,0,0,0,0,0,0,-0.017703959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-3.8563183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2777791,-1.2366035,-1.1218571,-0.31409823,0,0,0,0,0,0,0,0,-0.11030555,-1.8332494,-3.7780779,-2.5161661,-0.56797371,0,0,0,0,0,0,0,-0.16467867,-0.65965969,-1.1102994,-0.87636914,-0.12534517,0,0,0,0,0,0,0,0,0,-0.017788114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-3.8745625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27909327,-1.2424539,-1.1271646,-0.31558423,0,0,0,0,0,0,0,0,-0.11082741,-1.8419225,-3.7959519,-2.5280701,-0.57066079,0,0,0,0,0,0,0,-0.16545776,-0.66278054,-1.1155522,-0.88051523,-0.12593818,0,0,0,0,0,0,0,0,0,-0.01787227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-3.8928067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28040744,-1.2483042,-1.1324721,-0.31707022,0,0,0,0,0,0,0,0,-0.11134926,-1.8505956,-3.813826,-2.539974,-0.57334787,0,0,0,0,0,0,0,-0.16623685,-0.66590138,-1.120805,-0.88466132,-0.12653119,0,0,0,0,0,0,0,0,0,-0.017956425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-3.9110509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28172161,-1.2541546,-1.1377796,-0.31855622,0,0,0,0,0,0,0,0,-0.11187112,-1.8592687,-3.8317,-2.551878,-0.57603494,0,0,0,0,0,0,0,-0.16701595,-0.66902222,-1.1260578,-0.88880742,-0.12712419,0,0,0,0,0,0,0,0,0,-0.01804058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
