Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa)
33,10.133785,0,0.10283943,0.32403046,0.37614757,0.75054518,0.57666995,0,0,0.139779,0.55105503,2.1893125,3.533529,0.63972851,0,0,0.038762247,0.45019394,1.0364204,1.4092577,0.47552846,0,0,0,0,0.0056359998,0.21135779,0.081273235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,10.305015,0,0.10457709,0.32950556,0.38250329,0.76322705,0.58641386,0,0,0.14214083,0.56036613,2.226305,3.5932346,0.65053791,0,0,0.039417207,0.45780081,1.0539326,1.4330697,0.4835634,0,0,0,0,0.0057312305,0.21492908,0.082646498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,10.476244,0,0.10631475,0.33498066,0.388859,0.77590891,0.59615778,0,0,0.14450266,0.56967723,2.2632975,3.6529401,0.66134732,0,0,0.040072167,0.46540767,1.0714449,1.4568818,0.49159834,0,0,0,0,0.0058264612,0.21850036,0.084019761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,10.647473,0,0.10805242,0.34045576,0.39521472,0.78859077,0.60590169,0,0,0.14686448,0.57898834,2.30029,3.7126457,0.67215673,0,0,0.040727128,0.47301454,1.0889571,1.4806938,0.49963328,0,0,0,0,0.005921692,0.22207165,0.085393024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,10.818702,0,0.10979008,0.34593086,0.40157043,0.80127263,0.6156456,0,0,0.14922631,0.58829944,2.3372826,3.7723513,0.68296613,0,0,0.041382088,0.48062141,1.1064694,1.5045058,0.50766822,0,0,0,0,0.0060169227,0.22564293,0.086766287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,10.989931,0,0.11152775,0.35140596,0.40792614,0.81395449,0.62538952,0,0,0.15158814,0.59761054,2.3742751,3.8320568,0.69377554,0,0,0.042037049,0.48822827,1.1239817,1.5283179,0.51570316,0,0,0,0,0.0061121534,0.22921421,0.08813955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,11.161161,0,0.11326541,0.35688106,0.41428186,0.82663635,0.63513343,0,0,0.15394996,0.60692164,2.4112676,3.8917624,0.70458495,0,0,0.042692009,0.49583514,1.1414939,1.5521299,0.52373811,0,0,0,0,0.0062073841,0.2327855,0.089512813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,11.33239,0,0.11500307,0.36235616,0.42063757,0.83931821,0.64487735,0,0,0.15631179,0.61623275,2.4482601,3.9514679,0.71539435,0,0,0.04334697,0.50344201,1.1590062,1.5759419,0.53177305,0,0,0,0,0.0063026149,0.23635678,0.090886076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11.503619,0,0.11674074,0.36783126,0.42699329,0.85200007,0.65462126,0,0,0.15867362,0.62554385,2.4852526,4.0111735,0.72620376,0,0,0.04400193,0.51104887,1.1765184,1.599754,0.53980799,0,0,0,0,0.0063978456,0.23992807,0.092259339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,11.674848,0,0.1184784,0.37330636,0.433349,0.86468193,0.66436518,0,0,0.16103544,0.63485495,2.5222452,4.0708791,0.73701317,0,0,0.044656891,0.51865574,1.1940307,1.623566,0.54784293,0,0,0,0,0.0064930763,0.24349935,0.093632602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
