Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
31,-2.0867627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024062786,-0.24164735,-0.30335074,-0.064263188,0,0,0,0,0,0,0,0,-0.59305537,-1.8576131,-0.32438902,-0.0063064625,0,0,0,0,0,0,-0.11736816,-0.0021027407,0,0,0,0,0,0,0,0,0
32,-1.9962172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023018692,-0.23116218,-0.29018824,-0.061474783,0,0,0,0,0,0,0,0,-0.56732246,-1.7770106,-0.31031365,-0.0060328226,0,0,0,0,0,0,-0.11227551,-0.0020115019,0,0,0,0,0,0,0,0,0
33,-1.9056718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021974599,-0.220677,-0.27702573,-0.058686378,0,0,0,0,0,0,0,0,-0.54158956,-1.696408,-0.29623829,-0.0057591827,0,0,0,0,0,0,-0.10718286,-0.0019202632,0,0,0,0,0,0,0,0,0
34,-1.8151263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020930505,-0.21019183,-0.26386322,-0.055897973,0,0,0,0,0,0,0,0,-0.51585665,-1.6158054,-0.28216292,-0.0054855428,0,0,0,0,0,0,-0.10209021,-0.0018290244,0,0,0,0,0,0,0,0,0
35,-1.7245808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019886411,-0.19970666,-0.25070071,-0.053109568,0,0,0,0,0,0,0,0,-0.49012375,-1.5352029,-0.26808755,-0.0052119029,0,0,0,0,0,0,-0.096997556,-0.0017377857,0,0,0,0,0,0,0,0,0
36,-1.6340354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018842318,-0.18922148,-0.2375382,-0.050321163,0,0,0,0,0,0,0,0,-0.46439084,-1.4546003,-0.25401218,-0.004938263,0,0,0,0,0,0,-0.091904905,-0.001646547,0,0,0,0,0,0,0,0,0
37,-1.5434899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017798224,-0.17873631,-0.2243757,-0.047532758,0,0,0,0,0,0,0,0,-0.43865794,-1.3739977,-0.23993682,-0.0046646232,0,0,0,0,0,0,-0.086812255,-0.0015553082,0,0,0,0,0,0,0,0,0
38,-1.4529445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01675413,-0.16825114,-0.21121319,-0.044744353,0,0,0,0,0,0,0,0,-0.41292503,-1.2933952,-0.22586145,-0.0043909833,0,0,0,0,0,0,-0.081719604,-0.0014640695,0,0,0,0,0,0,0,0,0
39,-1.362399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015710036,-0.15776596,-0.19805068,-0.041955948,0,0,0,0,0,0,0,0,-0.38719213,-1.2127926,-0.21178608,-0.0041173434,0,0,0,0,0,0,-0.076626954,-0.0013728307,0,0,0,0,0,0,0,0,0
40,-1.2718536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014665943,-0.14728079,-0.18488817,-0.039167543,0,0,0,0,0,0,0,0,-0.36145922,-1.1321901,-0.19771072,-0.0038437035,0,0,0,0,0,0,-0.071534304,-0.001281592,0,0,0,0,0,0,0,0,0
