Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa)
43,0.79139762,0,0,0,0,0,0,0,0,0.015438743,0.16837861,0.2604112,0.043256255,0,0,0,0,0.093672349,0.62613902,0.82252655,0.069724523,0,0,0,0,0.055832393,0.25604507,0.14434779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1.0267513,0,0,0,0,0,0,0,0,0.02003007,0.21845271,0.33785487,0.056120229,0,0,0,0,0.12152956,0.81234644,1.0671377,0.090459893,0,0,0,0,0.072436383,0.3321903,0.18727537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1.262105,0,0,0,0,0,0,0,0,0.024621397,0.26852681,0.41529853,0.068984203,0,0,0,0,0.14938677,0.99855387,1.3117488,0.11119526,0,0,0,0,0.089040373,0.40833552,0.23020295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1.4974586,0,0,0,0,0,0,0,0,0.029212723,0.31860091,0.4927422,0.081848177,0,0,0,0,0.17724398,1.1847613,1.5563599,0.13193063,0,0,0,0,0.10564436,0.48448074,0.27313052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1.7328123,0,0,0,0,0,0,0,0,0.03380405,0.36867501,0.57018586,0.09471215,0,0,0,0,0.2051012,1.3709687,1.800971,0.152666,0,0,0,0,0.12224835,0.56062596,0.3160581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1.968166,0,0,0,0,0,0,0,0,0.038395376,0.41874911,0.64762953,0.10757612,0,0,0,0,0.23295841,1.5571762,2.0455821,0.17340137,0,0,0,0,0.13885234,0.63677119,0.35898568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2.2035196,0,0,0,0,0,0,0,0,0.042986703,0.46882321,0.72507319,0.1204401,0,0,0,0,0.26081562,1.7433836,2.2901932,0.19413674,0,0,0,0,0.15545633,0.71291641,0.40191325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2.4388733,0,0,0,0,0,0,0,0,0.04757803,0.51889731,0.80251686,0.13330407,0,0,0,0,0.28867283,1.929591,2.5348043,0.21487211,0,0,0,0,0.17206033,0.78906163,0.44484083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2.674227,0,0,0,0,0,0,0,0,0.052169356,0.56897141,0.87996052,0.14616805,0,0,0,0,0.31653004,2.1157984,2.7794154,0.23560748,0,0,0,0,0.18866432,0.86520685,0.48776841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2.9095806,0,0,0,0,0,0,0,0,0.056760683,0.61904551,0.95740418,0.15903202,0,0,0,0,0.34438725,2.3020059,3.0240265,0.25634285,0,0,0,0,0.20526831,0.94135207,0.53069599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3.1449343,0,0,0,0,0,0,0,0,0.061352009,0.66911961,1.0348478,0.17189599,0,0,0,0,0.37224447,2.4882133,3.2686376,0.27707822,0,0,0,0,0.2218723,1.0174973,0.57362356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3.380288,0,0,0,0,0,0,0,0,0.065943336,0.71919371,1.1122915,0.18475997,0,0,0,0,0.40010168,2.6744207,3.5132487,0.29781359,0,0,0,0,0.23847629,1.0936425,0.61655114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3.6156416,0,0,0,0,0,0,0,0,0.070534662,0.76926781,1.1897352,0.19762394,0,0,0,0,0.42795889,2.8606281,3.7578598,0.31854896,0,0,0,0,0.25508028,1.1697877,0.65947872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3.8509953,0,0,0,0,0,0,0,0,0.075125989,0.81934191,1.2671788,0.21048792,0,0,0,0,0.4558161,3.0468356,4.0024709,0.33928433,0,0,0,0,0.27168427,1.245933,0.70240629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4.086349,0,0,0,0,0,0,0,0,0.079717316,0.86941601,1.3446225,0.22335189,0,0,0,0,0.48367331,3.233043,4.2470819,0.3600197,0,0,0,0,0.28828826,1.3220782,0.74533387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4.3217027,0,0,0,0,0,0,0,0,0.084308642,0.91949011,1.4220662,0.23621586,0,0,0,0,0.51153053,3.4192504,4.491693,0.38075507,0,0,0,0,0.30489225,1.3982234,0.78826145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,4.5570563,0,0,0,0,0,0,0,0,0.088899969,0.96956421,1.4995098,0.24907984,0,0,0,0,0.53938774,3.6054579,4.7363041,0.40149044,0,0,0,0,0.32149624,1.4743686,0.83118902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4.79241,0,0,0,0,0,0,0,0,0.093491295,1.0196383,1.5769535,0.26194381,0,0,0,0,0.56724495,3.7916653,4.9809152,0.42222581,0,0,0,0,0.33810023,1.5505139,0.8741166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,5.0277637,0,0,0,0,0,0,0,0,0.098082622,1.0697124,1.6543972,0.27480778,0,0,0,0,0.59510216,3.9778727,5.2255263,0.44296118,0,0,0,0,0.35470422,1.6266591,0.91704418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5.2631173,0,0,0,0,0,0,0,0,0.10267395,1.1197865,1.7318408,0.28767176,0,0,0,0,0.62295937,4.1640801,5.4701374,0.46369655,0,0,0,0,0.37130821,1.7028043,0.95997176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,5.498471,0,0,0,0,0,0,0,0,0.10726527,1.1698606,1.8092845,0.30053573,0,0,0,0,0.65081658,4.3502876,5.7147485,0.48443192,0,0,0,0,0.3879122,1.7789495,1.0028993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,5.7338247,0,0,0,0,0,0,0,0,0.1118566,1.2199347,1.8867282,0.31339971,0,0,0,0,0.6786738,4.536495,5.9593596,0.50516729,0,0,0,0,0.40451619,1.8550947,1.0458269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,5.9691783,0,0,0,0,0,0,0,0,0.11644793,1.2700088,1.9641718,0.32626368,0,0,0,0,0.70653101,4.7227024,6.2039707,0.52590266,0,0,0,0,0.42112018,1.93124,1.0887545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6.204532,0,0,0,0,0,0,0,0,0.12103925,1.3200829,2.0416155,0.33912765,0,0,0,0,0.73438822,4.9089098,6.4485818,0.54663803,0,0,0,0,0.43772417,2.0073852,1.1316821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6.4398857,0,0,0,0,0,0,0,0,0.12563058,1.370157,2.1190592,0.35199163,0,0,0,0,0.76224543,5.0951173,6.6931929,0.5673734,0,0,0,0,0.45432816,2.0835304,1.1746096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6.6752393,0,0,0,0,0,0,0,0,0.13022191,1.4202311,2.1965028,0.3648556,0,0,0,0,0.79010264,5.2813247,6.937804,0.58810877,0,0,0,0,0.47093215,2.1596756,1.2175372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,6.910593,0,0,0,0,0,0,0,0,0.13481323,1.4703052,2.2739465,0.37771958,0,0,0,0,0.81795985,5.4675321,7.1824151,0.60884414,0,0,0,0,0.48753614,2.2358209,1.2604648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7.1459467,0,0,0,0,0,0,0,0,0.13940456,1.5203793,2.3513901,0.39058355,0,0,0,0,0.84581707,5.6537396,7.4270262,0.62957951,0,0,0,0,0.50414013,2.3119661,1.3033924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,7.3813003,0,0,0,0,0,0,0,0,0.14399589,1.5704534,2.4288338,0.40344752,0,0,0,0,0.87367428,5.839947,7.6716373,0.65031488,0,0,0,0,0.52074412,2.3881113,1.34632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7.616654,0,0,0,0,0,0,0,0,0.14858721,1.6205275,2.5062775,0.4163115,0,0,0,0,0.90153149,6.0261544,7.9162484,0.67105025,0,0,0,0,0.53734811,2.4642565,1.3892475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7.8520077,0,0,0,0,0,0,0,0,0.15317854,1.6706016,2.5837211,0.42917547,0,0,0,0,0.9293887,6.2123618,8.1608595,0.69178562,0,0,0,0,0.5539521,2.5404017,1.4321751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,8.0873614,0,0,0,0,0,0,0,0,0.15776987,1.7206757,2.6611648,0.44203945,0,0,0,0,0.95724591,6.3985693,8.4054706,0.71252099,0,0,0,0,0.57055609,2.616547,1.4751027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,8.322715,0,0,0,0,0,0,0,0,0.16236119,1.7707498,2.7386085,0.45490342,0,0,0,0,0.98510312,6.5847767,8.6500817,0.73325636,0,0,0,0,0.58716008,2.6926922,1.5180303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,8.5580687,0,0,0,0,0,0,0,0,0.16695252,1.8208239,2.8160521,0.46776739,0,0,0,0,1.0129603,6.7709841,8.8946928,0.75399173,0,0,0,0,0.60376407,2.7688374,1.5609578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
