Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa)
84,-2.9325832,0,0,0,0,-0.14323717,-0.019031346,0,0,0,-1.085701,-0.20371948,0,0,0,0,0,0,-0.020074328
85,-2.9422033,0,0,0,0,-0.14370705,-0.019093776,0,0,0,-1.0892626,-0.20438776,0,0,0,0,0,0,-0.02014018
86,-2.9518233,0,0,0,0,-0.14417692,-0.019156207,0,0,0,-1.0928241,-0.20505605,0,0,0,0,0,0,-0.020206032
87,-2.9614434,0,0,0,0,-0.1446468,-0.019218638,0,0,0,-1.0963857,-0.20572433,0,0,0,0,0,0,-0.020271884
88,-2.9710635,0,0,0,0,-0.14511668,-0.019281068,0,0,0,-1.0999472,-0.20639262,0,0,0,0,0,0,-0.020337736
89,-2.9806836,0,0,0,0,-0.14558656,-0.019343499,0,0,0,-1.1035088,-0.2070609,0,0,0,0,0,0,-0.020403588
90,-2.9903037,0,0,0,0,-0.14605643,-0.01940593,0,0,0,-1.1070703,-0.20772919,0,0,0,0,0,0,-0.02046944
91,-2.9999238,0,0,0,0,-0.14652631,-0.01946836,0,0,0,-1.1106318,-0.20839747,0,0,0,0,0,0,-0.020535292
92,-3.0095438,0,0,0,0,-0.14699619,-0.019530791,0,0,0,-1.1141934,-0.20906575,0,0,0,0,0,0,-0.020601144
93,-3.0191639,0,0,0,0,-0.14746606,-0.019593222,0,0,0,-1.1177549,-0.20973404,0,0,0,0,0,0,-0.020666997
94,-3.028784,0,0,0,0,-0.14793594,-0.019655652,0,0,0,-1.1213165,-0.21040232,0,0,0,0,0,0,-0.020732849
95,-3.0384041,0,0,0,0,-0.14840582,-0.019718083,0,0,0,-1.124878,-0.21107061,0,0,0,0,0,0,-0.020798701
96,-3.0480242,0,0,0,0,-0.1488757,-0.019780514,0,0,0,-1.1284396,-0.21173889,0,0,0,0,0,0,-0.020864553
97,-3.0576443,0,0,0,0,-0.14934557,-0.019842944,0,0,0,-1.1320011,-0.21240717,0,0,0,0,0,0,-0.020930405
98,-3.0672644,0,0,0,0,-0.14981545,-0.019905375,0,0,0,-1.1355627,-0.21307546,0,0,0,0,0,0,-0.020996257
99,-3.0768844,0,0,0,0,-0.15028533,-0.019967806,0,0,0,-1.1391242,-0.21374374,0,0,0,0,0,0,-0.021062109
100,-3.0865045,0,0,0,0,-0.1507552,-0.020030237,0,0,0,-1.1426858,-0.21441203,0,0,0,0,0,0,-0.021127961
101,-3.0961246,0,0,0,0,-0.15122508,-0.020092667,0,0,0,-1.1462473,-0.21508031,0,0,0,0,0,0,-0.021193813
102,-3.1057447,0,0,0,0,-0.15169496,-0.020155098,0,0,0,-1.1498089,-0.21574859,0,0,0,0,0,0,-0.021259665
103,-3.1153648,0,0,0,0,-0.15216484,-0.020217529,0,0,0,-1.1533704,-0.21641688,0,0,0,0,0,0,-0.021325517
104,-3.1249849,0,0,0,0,-0.15263471,-0.020279959,0,0,0,-1.156932,-0.21708516,0,0,0,0,0,0,-0.02139137
105,-3.1346049,0,0,0,0,-0.15310459,-0.02034239,0,0,0,-1.1604935,-0.21775345,0,0,0,0,0,0,-0.021457222
106,-3.144225,0,0,0,0,-0.15357447,-0.020404821,0,0,0,-1.1640551,-0.21842173,0,0,0,0,0,0,-0.021523074
107,-3.1538451,0,0,0,0,-0.15404434,-0.020467251,0,0,0,-1.1676166,-0.21909001,0,0,0,0,0,0,-0.021588926
108,-3.1634652,0,0,0,0,-0.15451422,-0.020529682,0,0,0,-1.1711782,-0.2197583,0,0,0,0,0,0,-0.021654778
109,-3.1730853,0,0,0,0,-0.1549841,-0.020592113,0,0,0,-1.1747397,-0.22042658,0,0,0,0,0,0,-0.02172063
110,-3.1827054,0,0,0,0,-0.15545397,-0.020654543,0,0,0,-1.1783013,-0.22109487,0,0,0,0,0,0,-0.021786482
111,-3.1923255,0,0,0,0,-0.15592385,-0.020716974,0,0,0,-1.1818628,-0.22176315,0,0,0,0,0,0,-0.021852334
112,-3.2019455,0,0,0,0,-0.15639373,-0.020779405,0,0,0,-1.1854244,-0.22243144,0,0,0,0,0,0,-0.021918186
113,-3.2115656,0,0,0,0,-0.15686361,-0.020841835,0,0,0,-1.1889859,-0.22309972,0,0,0,0,0,0,-0.021984038
114,-3.2211857,0,0,0,0,-0.15733348,-0.020904266,0,0,0,-1.1925475,-0.223768,0,0,0,0,0,0,-0.02204989
115,-3.2308058,0,0,0,0,-0.15780336,-0.020966697,0,0,0,-1.196109,-0.22443629,0,0,0,0,0,0,-0.022115743
116,-3.2404259,0,0,0,0,-0.15827324,-0.021029127,0,0,0,-1.1996705,-0.22510457,0,0,0,0,0,0,-0.022181595
117,-3.250046,0,0,0,0,-0.15874311,-0.021091558,0,0,0,-1.2032321,-0.22577286,0,0,0,0,0,0,-0.022247447
118,-3.2596661,0,0,0,0,-0.15921299,-0.021153989,0,0,0,-1.2067936,-0.22644114,0,0,0,0,0,0,-0.022313299
119,-3.2692861,0,0,0,0,-0.15968287,-0.021216419,0,0,0,-1.2103552,-0.22710942,0,0,0,0,0,0,-0.022379151
120,-3.2789062,0,0,0,0,-0.16015275,-0.02127885,0,0,0,-1.2139167,-0.22777771,0,0,0,0,0,0,-0.022445003
121,-3.2885263,0,0,0,0,-0.16062262,-0.021341281,0,0,0,-1.2174783,-0.22844599,0,0,0,0,0,0,-0.022510855
122,-3.2981464,0,0,0,0,-0.1610925,-0.021403711,0,0,0,-1.2210398,-0.22911428,0,0,0,0,0,0,-0.022576707
123,-3.3077665,0,0,0,0,-0.16156238,-0.021466142,0,0,0,-1.2246014,-0.22978256,0,0,0,0,0,0,-0.022642559
