Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
3383.383,239.6987,256.7736,222.6237
3388.388,239.6753,256.8476,222.5029
3393.393,239.6569,256.9369,222.3769
3398.398,239.6441,257.043,222.2452
3403.403,239.6313,257.1495,222.1132
3408.408,239.6278,257.2558,221.9997
3413.413,239.6477,257.3616,221.9338
3418.418,239.6676,257.4683,221.867
3423.423,239.6876,257.576,221.7992
3428.428,239.7075,257.6847,221.7304
3433.433,239.7275,257.7942,221.6607
3438.438,239.7474,257.9047,221.5901
3443.443,239.7674,258.0161,221.5186
3448.448,239.7873,258.1284,221.4462
3453.453,239.8072,258.2416,221.3729
3458.458,239.8272,258.3556,221.2988
3463.463,239.8471,258.4705,221.2238
3468.468,239.8671,258.5862,221.1479
3473.473,239.887,258.7028,221.0713
3478.478,239.907,258.8201,220.9938
3483.483,239.9269,258.9383,220.9155
3488.488,239.9394,259.0579,220.8209
3493.493,239.9487,259.1788,220.7186
3498.498,239.958,259.3007,220.6153
