Time (ms),Stress at 0.00 mm (kPa),Stress at 0.33 mm (kPa),Stress at 0.54 mm (kPa),Stress at 0.68 mm (kPa),Stress at 0.89 mm (kPa),Stress at 1.12 mm (kPa),Stress at 1.32 mm (kPa),Stress at 1.52 mm (kPa),Stress at 1.70 mm (kPa),Stress at 1.89 mm (kPa),Stress at 2.11 mm (kPa),Stress at 2.31 mm (kPa),Stress at 2.52 mm (kPa),Stress at 2.70 mm (kPa),Stress at 2.90 mm (kPa),Stress at 3.10 mm (kPa),Stress at 3.30 mm (kPa),Stress at 3.49 mm (kPa),Stress at 3.68 mm (kPa),Stress at 3.90 mm (kPa),Stress at 4.10 mm (kPa),Stress at 4.32 mm (kPa),Stress at 4.51 mm (kPa),Stress at 4.71 mm (kPa),Stress at 4.90 mm (kPa)
43,-6.416772,-5.0188243,-4.2327099,-3.4765557,-2.8525514,-2.2854286,-1.6981857,-1.4135103,-1.1599313,-0.9792105,-0.77276439,-0.70337374,-0.54796334,-0.45384538,-0.44488819,-0.39878918,-0.32343972,-0.2609892,-0.25240797,-0.25769602,-0.21176701,-0.19037107,-0.1380963,-0.11317122,-0.069670076
44,-6.0515883,-4.733199,-3.991823,-3.2787021,-2.6902104,-2.1553631,-1.6015406,-1.3330663,-1.0939187,-0.92348284,-0.72878575,-0.66334417,-0.5167783,-0.42801667,-0.41956924,-0.37609376,-0.3050325,-0.2461361,-0.23804323,-0.24303033,-0.19971518,-0.17953689,-0.13023713,-0.10673056,-0.065705096
45,-5.6864046,-4.4475736,-3.750936,-3.0808485,-2.5278694,-2.0252975,-1.5048955,-1.2526223,-1.0279061,-0.86775518,-0.6848071,-0.62331461,-0.48559326,-0.40218797,-0.39425029,-0.35339835,-0.28662529,-0.23128299,-0.22367848,-0.22836464,-0.18766335,-0.16870272,-0.12237796,-0.10028989,-0.061740115
46,-5.3212209,-4.1619483,-3.5100491,-2.8829949,-2.3655284,-1.8952319,-1.4082504,-1.1721783,-0.96189345,-0.81202752,-0.64082845,-0.58328504,-0.45440823,-0.37635926,-0.36893135,-0.33070293,-0.26821807,-0.21642988,-0.20931374,-0.21369895,-0.17561151,-0.15786855,-0.11451879,-0.093849226,-0.057775135
47,-4.9560372,-3.8763229,-3.2691621,-2.6851413,-2.2031874,-1.7651663,-1.3116052,-1.0917343,-0.89588082,-0.75629985,-0.59684981,-0.54325547,-0.42322319,-0.35053055,-0.3436124,-0.30800752,-0.24981086,-0.20157678,-0.194949,-0.19903327,-0.16355968,-0.14703438,-0.10665961,-0.087408561,-0.053810155
48,-4.5908536,-3.5906976,-3.0282752,-2.4872877,-2.0408464,-1.6351007,-1.2149601,-1.0112902,-0.82986819,-0.70057219,-0.55287116,-0.5032259,-0.39203815,-0.32470184,-0.31829345,-0.2853121,-0.23140364,-0.18672367,-0.18058426,-0.18436758,-0.15150785,-0.13620021,-0.098800442,-0.080967895,-0.049845174
49,-4.2256699,-3.3050722,-2.7873883,-2.2894341,-1.8785054,-1.5050351,-1.118315,-0.93084623,-0.76385556,-0.64484453,-0.50889251,-0.46319633,-0.36085312,-0.29887314,-0.29297451,-0.26261669,-0.21299642,-0.17187056,-0.16621952,-0.16970189,-0.13945602,-0.12536604,-0.09094127,-0.074527229,-0.045880194
50,-3.8604862,-3.0194469,-2.5465013,-2.0915805,-1.7161644,-1.3749695,-1.0216699,-0.85040222,-0.69784293,-0.58911687,-0.46491387,-0.42316676,-0.32966808,-0.27304443,-0.26765556,-0.23992127,-0.19458921,-0.15701746,-0.15185478,-0.1550362,-0.12740419,-0.11453187,-0.083082098,-0.068086563,-0.041915214
51,-3.4953025,-2.7338215,-2.3056144,-1.8937269,-1.5538234,-1.2449039,-0.92502474,-0.7699582,-0.6318303,-0.53338921,-0.42093522,-0.3831372,-0.29848304,-0.24721572,-0.24233662,-0.21722586,-0.17618199,-0.14216435,-0.13749004,-0.14037051,-0.11535236,-0.1036977,-0.075222926,-0.061645897,-0.037950233
52,-3.1301188,-2.4481962,-2.0647274,-1.6958733,-1.3914824,-1.1148383,-0.82837962,-0.68951419,-0.56581767,-0.47766155,-0.37695658,-0.34310763,-0.26729801,-0.22138701,-0.21701767,-0.19453045,-0.15777478,-0.12731124,-0.12312529,-0.12570482,-0.10330052,-0.092863525,-0.067363753,-0.055205231,-0.033985253
