Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
30,-10.450527,0,-0.26561253,-0.66525709,-0.7495618,-1.3026337,-1.0550249,-1.5538399,0,0,-0.33952705,-1.017365,-3.0673762,-4.4987076,-1.1463504,-0.9662439,0,0,-0.12168807,-0.86544715,-1.6863573,-2.1563198,-0.9041949,-0.92450396,0,0,0,0,-0.02601942,-0.47264542,-0.22002847,-0.58382555,0,0,0,0,0,0,0,-0.022440737,0,0,0,0,0,0,0,0
31,-10.798878,0,-0.27446628,-0.68743233,-0.77454719,-1.3460548,-1.0901924,-1.6056345,0,0,-0.35084462,-1.0512772,-3.1696221,-4.6486645,-1.1845621,-0.99845203,0,0,-0.12574433,-0.89429539,-1.7425692,-2.2281971,-0.93433473,-0.95532076,0,0,0,0,-0.026886734,-0.48840026,-0.22736275,-0.6032864,0,0,0,0,0,0,0,-0.023188761,0,0,0,0,0,0,0,0
32,-10.433792,0,-0.26518719,-0.66419179,-0.7483615,-1.3005478,-1.0533354,-1.5513516,0,0,-0.33898336,-1.0157359,-3.0624643,-4.4915037,-1.1445147,-0.96469662,0,0,-0.1214932,-0.86406128,-1.6836569,-2.1528668,-0.90274698,-0.92302352,0,0,0,0,-0.025977754,-0.47188855,-0.21967613,-0.58289065,0,0,0,0,0,0,0,-0.022404802,0,0,0,0,0,0,0,0
33,-10.068609,0,-0.25590562,-0.64094502,-0.72216878,-1.2550285,-1.0164686,-1.4970542,0,0,-0.32711891,-0.98018506,-2.9552778,-4.3343006,-1.1044566,-0.93093215,0,0,-0.11724093,-0.83381906,-1.6247287,-2.0775163,-0.87115075,-0.89071761,0,0,0,0,-0.02506853,-0.45537241,-0.21198745,-0.56248943,0,0,0,0,0,0,0,-0.021620631,0,0,0,0,0,0,0,0
34,-9.7034251,0,-0.24662404,-0.61769825,-0.69597606,-1.2095092,-0.97960174,-1.4427567,0,0,-0.31525446,-0.94463421,-2.8480912,-4.1770976,-1.0643985,-0.89716768,0,0,-0.11298866,-0.80357684,-1.5658006,-2.0021657,-0.83955453,-0.85841171,0,0,0,0,-0.024159307,-0.43885627,-0.20429876,-0.5420882,0,0,0,0,0,0,0,-0.020836461,0,0,0,0,0,0,0,0
35,-9.3382414,0,-0.23734246,-0.59445147,-0.66978334,-1.1639899,-0.94273491,-1.3884593,0,0,-0.30339001,-0.90908336,-2.7409047,-4.0198946,-1.0243404,-0.86340321,0,0,-0.10873638,-0.77333462,-1.5068724,-1.9268152,-0.8079583,-0.8261058,0,0,0,0,-0.023250083,-0.42234013,-0.19661008,-0.52168697,0,0,0,0,0,0,0,-0.020052291,0,0,0,0,0,0,0,0
36,-8.9730577,0,-0.22806089,-0.5712047,-0.64359062,-1.1184706,-0.90586807,-1.3341618,0,0,-0.29152556,-0.87353251,-2.6337182,-3.8626915,-0.98428227,-0.82963874,0,0,-0.10448411,-0.74309239,-1.4479443,-1.8514647,-0.77636207,-0.79379989,0,0,0,0,-0.022340859,-0.40582399,-0.18892139,-0.50128575,0,0,0,0,0,0,0,-0.019268121,0,0,0,0,0,0,0,0
37,-8.607874,0,-0.21877931,-0.54795793,-0.6173979,-1.0729513,-0.86900124,-1.2798644,0,0,-0.27966112,-0.83798166,-2.5265316,-3.7054885,-0.94422415,-0.79587428,0,0,-0.10023184,-0.71285017,-1.3890162,-1.7761141,-0.74476585,-0.76149399,0,0,0,0,-0.021431635,-0.38930784,-0.18123271,-0.48088452,0,0,0,0,0,0,0,-0.018483951,0,0,0,0,0,0,0,0
38,-8.2426903,0,-0.20949774,-0.52471115,-0.59120518,-1.027432,-0.8321344,-1.225567,0,0,-0.26779667,-0.80243081,-2.4193451,-3.5482854,-0.90416603,-0.76210981,0,0,-0.095979564,-0.68260795,-1.330088,-1.7007636,-0.71316962,-0.72918808,0,0,0,0,-0.020522412,-0.3727917,-0.17354402,-0.4604833,0,0,0,0,0,0,0,-0.017699781,0,0,0,0,0,0,0,0
39,-7.8775067,0,-0.20021616,-0.50146438,-0.56501246,-0.98191273,-0.79526757,-1.1712695,0,0,-0.25593222,-0.76687996,-2.3121586,-3.3910824,-0.86410791,-0.72834534,0,0,-0.091727291,-0.65236572,-1.2711599,-1.6254131,-0.6815734,-0.69688217,0,0,0,0,-0.019613188,-0.35627556,-0.16585534,-0.44008207,0,0,0,0,0,0,0,-0.016915611,0,0,0,0,0,0,0,0
40,-7.512323,0,-0.19093459,-0.47821761,-0.53881974,-0.93639344,-0.75840073,-1.1169721,0,0,-0.24406777,-0.73132912,-2.2049721,-3.2338794,-0.82404979,-0.69458087,0,0,-0.087475018,-0.6221235,-1.2122317,-1.5500625,-0.64997717,-0.66457627,0,0,0,0,-0.018703964,-0.33975942,-0.15816665,-0.41968085,0,0,0,0,0,0,0,-0.016131441,0,0,0,0,0,0,0,0
41,-7.1471393,0,-0.18165301,-0.45497084,-0.51262702,-0.89087415,-0.7215339,-1.0626746,0,0,-0.23220332,-0.69577827,-2.0977855,-3.0766763,-0.78399167,-0.6608164,0,0,-0.083222745,-0.59188128,-1.1533036,-1.474712,-0.61838094,-0.63227036,0,0,0,0,-0.01779474,-0.32324328,-0.15047797,-0.39927962,0,0,0,0,0,0,0,-0.015347271,0,0,0,0,0,0,0,0
42,-6.7819556,0,-0.17237143,-0.43172406,-0.4864343,-0.84535486,-0.68466706,-1.0083772,0,0,-0.22033888,-0.66022742,-1.990599,-2.9194733,-0.74393355,-0.62705193,0,0,-0.078970472,-0.56163905,-1.0943754,-1.3993615,-0.58678472,-0.59996445,0,0,0,0,-0.016885517,-0.30672713,-0.14278929,-0.3788784,0,0,0,0,0,0,0,-0.014563101,0,0,0,0,0,0,0,0
43,-6.416772,0,-0.16308986,-0.40847729,-0.46024158,-0.79983557,-0.64780023,-0.95407971,0,0,-0.20847443,-0.62467657,-1.8834125,-2.7622703,-0.70387543,-0.59328746,0,0,-0.074718199,-0.53139683,-1.0354473,-1.3240109,-0.55518849,-0.56765855,0,0,0,0,-0.015976293,-0.29021099,-0.1351006,-0.35847717,0,0,0,0,0,0,0,-0.013778931,0,0,0,0,0,0,0,0
44,-6.0515883,0,-0.15380828,-0.38523052,-0.43404886,-0.75431629,-0.61093339,-0.89978227,0,0,-0.19660998,-0.58912572,-1.776226,-2.6050672,-0.66381731,-0.55952299,0,0,-0.070465926,-0.50115461,-0.97651915,-1.2486604,-0.52359227,-0.53535264,0,0,0,0,-0.015067069,-0.27369485,-0.12741192,-0.33807594,0,0,0,0,0,0,0,-0.012994761,0,0,0,0,0,0,0,0
45,-5.6864046,0,-0.14452671,-0.36198374,-0.40785614,-0.708797,-0.57406656,-0.84548482,0,0,-0.18474553,-0.55357487,-1.6690394,-2.4478642,-0.62375919,-0.52575852,0,0,-0.066213653,-0.47091238,-0.91759101,-1.1733099,-0.49199604,-0.50304673,0,0,0,0,-0.014157845,-0.25717871,-0.11972323,-0.31767472,0,0,0,0,0,0,0,-0.01221059,0,0,0,0,0,0,0,0
46,-5.3212209,0,-0.13524513,-0.33873697,-0.38166342,-0.66327771,-0.53719972,-0.79118737,0,0,-0.17288108,-0.51802402,-1.5618529,-2.2906612,-0.58370107,-0.49199405,0,0,-0.061961379,-0.44067016,-0.85866287,-1.0979593,-0.46039981,-0.47074083,0,0,0,0,-0.013248622,-0.24066256,-0.11203455,-0.29727349,0,0,0,0,0,0,0,-0.01142642,0,0,0,0,0,0,0,0
47,-4.9560372,0,-0.12596356,-0.3154902,-0.3554707,-0.61775842,-0.50033289,-0.73688992,0,0,-0.16101663,-0.48247318,-1.4546664,-2.1334581,-0.54364295,-0.45822959,0,0,-0.057709106,-0.41042794,-0.79973472,-1.0226088,-0.42880359,-0.43843492,0,0,0,0,-0.012339398,-0.22414642,-0.10434586,-0.27687227,0,0,0,0,0,0,0,-0.01064225,0,0,0,0,0,0,0,0
48,-4.5908536,0,-0.11668198,-0.29224343,-0.32927798,-0.57223913,-0.46346606,-0.68259247,0,0,-0.14915219,-0.44692233,-1.3474799,-1.9762551,-0.50358483,-0.42446512,0,0,-0.053456833,-0.38018571,-0.74080658,-0.94725827,-0.39720736,-0.40612901,0,0,0,0,-0.011430174,-0.20763028,-0.096657179,-0.25647104,0,0,0,0,0,0,0,-0.0098580802,0,0,0,0,0,0,0,0
49,-4.2256699,0,-0.1074004,-0.26899665,-0.30308526,-0.52671984,-0.42659922,-0.62829503,0,0,-0.13728774,-0.41137148,-1.2402933,-1.8190521,-0.46352671,-0.39070065,0,0,-0.04920456,-0.34994349,-0.68187844,-0.87190774,-0.36561114,-0.37382311,0,0,0,0,-0.01052095,-0.19111414,-0.088968494,-0.23606982,0,0,0,0,0,0,0,-0.0090739102,0,0,0,0,0,0,0,0
50,-3.8604862,0,-0.098118829,-0.24574988,-0.27689254,-0.48120055,-0.38973239,-0.57399758,0,0,-0.12542329,-0.37582063,-1.1331068,-1.661849,-0.42346859,-0.35693618,0,0,-0.044952287,-0.31970127,-0.6229503,-0.7965572,-0.33401491,-0.3415172,0,0,0,0,-0.0096117267,-0.174598,-0.08127981,-0.21566859,0,0,0,0,0,0,0,-0.0082897401,0,0,0,0,0,0,0,0
51,-3.4953025,0,-0.088837253,-0.22250311,-0.25069982,-0.43568126,-0.35286555,-0.51970013,0,0,-0.11355884,-0.34026978,-1.0259203,-1.504646,-0.38341047,-0.32317171,0,0,-0.040700014,-0.28945904,-0.56402215,-0.72120667,-0.30241868,-0.30921129,0,0,0,0,-0.008702503,-0.15808185,-0.073591126,-0.19526737,0,0,0,0,0,0,0,-0.00750557,0,0,0,0,0,0,0,0
