Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
46,-74.126597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1183643,-20.42833,-23.414812,-9.2278601,0,0,0,0,0,0,0,-7.5351025,-37.501499,-69.453927,-24.37605,-2.2918972,0,0,0,0,0,0,-13.245056,-1.1857553,0,0,0,0,0,0,0,0,0
47,-74.036051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1121122,-20.403377,-23.386211,-9.2165883,0,0,0,0,0,0,0,-7.5258984,-37.455691,-69.369089,-24.346275,-2.2890976,0,0,0,0,0,0,-13.228878,-1.1843069,0,0,0,0,0,0,0,0,0
48,-73.945506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1058601,-20.378424,-23.35761,-9.2053165,0,0,0,0,0,0,0,-7.5166943,-37.409883,-69.284251,-24.316499,-2.2862981,0,0,0,0,0,0,-13.212699,-1.1828585,0,0,0,0,0,0,0,0,0
49,-73.854961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0996081,-20.353471,-23.329009,-9.1940447,0,0,0,0,0,0,0,-7.5074902,-37.364075,-69.199413,-24.286724,-2.2834985,0,0,0,0,0,0,-13.19652,-1.1814101,0,0,0,0,0,0,0,0,0
50,-73.764415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.093356,-20.328517,-23.300408,-9.1827728,0,0,0,0,0,0,0,-7.4982861,-37.318267,-69.114575,-24.256949,-2.280699,0,0,0,0,0,0,-13.180341,-1.1799617,0,0,0,0,0,0,0,0,0
51,-73.67387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0871039,-20.303564,-23.271807,-9.171501,0,0,0,0,0,0,0,-7.489082,-37.272459,-69.029738,-24.227173,-2.2778995,0,0,0,0,0,0,-13.164162,-1.1785133,0,0,0,0,0,0,0,0,0
52,-73.583324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0808518,-20.278611,-23.243206,-9.1602292,0,0,0,0,0,0,0,-7.4798779,-37.226651,-68.9449,-24.197398,-2.2750999,0,0,0,0,0,0,-13.147984,-1.1770649,0,0,0,0,0,0,0,0,0
53,-73.492779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0745998,-20.253658,-23.214604,-9.1489574,0,0,0,0,0,0,0,-7.4706738,-37.180843,-68.860062,-24.167623,-2.2723004,0,0,0,0,0,0,-13.131805,-1.1756165,0,0,0,0,0,0,0,0,0
54,-73.402233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0683477,-20.228705,-23.186003,-9.1376856,0,0,0,0,0,0,0,-7.4614697,-37.135036,-68.775224,-24.137848,-2.2695008,0,0,0,0,0,0,-13.115626,-1.1741681,0,0,0,0,0,0,0,0,0
55,-73.311688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0620956,-20.203752,-23.157402,-9.1264138,0,0,0,0,0,0,0,-7.4522655,-37.089228,-68.690386,-24.108072,-2.2667013,0,0,0,0,0,0,-13.099447,-1.1727197,0,0,0,0,0,0,0,0,0
56,-73.221142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0558436,-20.178799,-23.128801,-9.115142,0,0,0,0,0,0,0,-7.4430614,-37.04342,-68.605549,-24.078297,-2.2639017,0,0,0,0,0,0,-13.083268,-1.1712713,0,0,0,0,0,0,0,0,0
57,-73.130597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0495915,-20.153845,-23.1002,-9.1038702,0,0,0,0,0,0,0,-7.4338573,-36.997612,-68.520711,-24.048522,-2.2611022,0,0,0,0,0,0,-13.06709,-1.1698229,0,0,0,0,0,0,0,0,0
58,-73.040051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0433394,-20.128892,-23.071599,-9.0925984,0,0,0,0,0,0,0,-7.4246532,-36.951804,-68.435873,-24.018746,-2.2583026,0,0,0,0,0,0,-13.050911,-1.1683745,0,0,0,0,0,0,0,0,0
59,-72.949506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0370874,-20.103939,-23.042998,-9.0813266,0,0,0,0,0,0,0,-7.4154491,-36.905996,-68.351035,-23.988971,-2.2555031,0,0,0,0,0,0,-13.034732,-1.1669261,0,0,0,0,0,0,0,0,0
60,-72.858961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0308353,-20.078986,-23.014396,-9.0700548,0,0,0,0,0,0,0,-7.406245,-36.860188,-68.266197,-23.959196,-2.2527035,0,0,0,0,0,0,-13.018553,-1.1654777,0,0,0,0,0,0,0,0,0
