Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa)
43,-13.39472,0,0,0,0,0,-2.5955744,-0.21223454,0,0,0,0,-22.943769,-4.0673736,0,0,-0.50440387,-4.1282536,-6.6102479,-1.3662623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-13.406123,0,0,0,0,0,-2.597784,-0.21241522,0,0,0,0,-22.963301,-4.0708361,0,0,-0.50483326,-4.1317679,-6.6158752,-1.3674253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-13.417525,0,0,0,0,0,-2.5999936,-0.21259589,0,0,0,0,-22.982833,-4.0742986,0,0,-0.50526265,-4.1352822,-6.6215024,-1.3685884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-13.428928,0,0,0,0,0,-2.6022031,-0.21277656,0,0,0,0,-23.002365,-4.0777611,0,0,-0.50569205,-4.1387966,-6.6271296,-1.3697515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,-13.440331,0,0,0,0,0,-2.6044127,-0.21295724,0,0,0,0,-23.021896,-4.0812237,0,0,-0.50612144,-4.1423109,-6.6327568,-1.3709146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-13.451734,0,0,0,0,0,-2.6066223,-0.21313791,0,0,0,0,-23.041428,-4.0846862,0,0,-0.50655083,-4.1458252,-6.638384,-1.3720777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,-13.463137,0,0,0,0,0,-2.6088319,-0.21331858,0,0,0,0,-23.06096,-4.0881487,0,0,-0.50698022,-4.1493396,-6.6440113,-1.3732407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-13.474539,0,0,0,0,0,-2.6110415,-0.21349925,0,0,0,0,-23.080492,-4.0916112,0,0,-0.50740962,-4.1528539,-6.6496385,-1.3744038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,-13.485942,0,0,0,0,0,-2.6132511,-0.21367993,0,0,0,0,-23.100023,-4.0950737,0,0,-0.50783901,-4.1563682,-6.6552657,-1.3755669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,-13.497345,0,0,0,0,0,-2.6154606,-0.2138606,0,0,0,0,-23.119555,-4.0985362,0,0,-0.5082684,-4.1598826,-6.6608929,-1.37673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,-13.508748,0,0,0,0,0,-2.6176702,-0.21404127,0,0,0,0,-23.139087,-4.1019987,0,0,-0.5086978,-4.1633969,-6.6665202,-1.3778931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
