Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa)
161,-6.0371563,0,0,0,0,-2.2750229,-3.3699393,0,0,0,0,0
162,-6.0504162,0,0,0,0,-2.2800197,-3.3773409,0,0,0,0,0
163,-6.063676,0,0,0,0,-2.2850165,-3.3847425,0,0,0,0,0
164,-6.0769358,0,0,0,0,-2.2900133,-3.3921442,0,0,0,0,0
165,-6.0901957,0,0,0,0,-2.2950101,-3.3995458,0,0,0,0,0
166,-6.1034555,0,0,0,0,-2.3000068,-3.4069474,0,0,0,0,0
167,-6.1167153,0,0,0,0,-2.3050036,-3.4143491,0,0,0,0,0
168,-6.1299751,0,0,0,0,-2.3100004,-3.4217507,0,0,0,0,0
169,-6.143235,0,0,0,0,-2.3149972,-3.4291523,0,0,0,0,0
170,-6.1564948,0,0,0,0,-2.319994,-3.436554,0,0,0,0,0
171,-6.1697546,0,0,0,0,-2.3249908,-3.4439556,0,0,0,0,0
172,-6.1830145,0,0,0,0,-2.3299876,-3.4513572,0,0,0,0,0
173,-6.1962743,0,0,0,0,-2.3349844,-3.4587589,0,0,0,0,0
174,-6.2095341,0,0,0,0,-2.3399812,-3.4661605,0,0,0,0,0
175,-6.2227939,0,0,0,0,-2.344978,-3.4735621,0,0,0,0,0
176,-6.2360538,0,0,0,0,-2.3499748,-3.4809638,0,0,0,0,0
177,-6.2493136,0,0,0,0,-2.3549716,-3.4883654,0,0,0,0,0
178,-6.2625734,0,0,0,0,-2.3599683,-3.495767,0,0,0,0,0
179,-6.2758332,0,0,0,0,-2.3649651,-3.5031687,0,0,0,0,0
180,-6.2890931,0,0,0,0,-2.3699619,-3.5105703,0,0,0,0,0
181,-6.3023529,0,0,0,0,-2.3749587,-3.5179719,0,0,0,0,0
182,-6.3156127,0,0,0,0,-2.3799555,-3.5253736,0,0,0,0,0
183,-6.3288726,0,0,0,0,-2.3849523,-3.5327752,0,0,0,0,0
184,-6.3421324,0,0,0,0,-2.3899491,-3.5401768,0,0,0,0,0
185,-6.3553922,0,0,0,0,-2.3949459,-3.5475785,0,0,0,0,0
186,-6.368652,0,0,0,0,-2.3999427,-3.5549801,0,0,0,0,0
187,-6.3819119,0,0,0,0,-2.4049395,-3.5623817,0,0,0,0,0
188,-6.3951717,0,0,0,0,-2.4099363,-3.5697834,0,0,0,0,0
189,-6.4084315,0,0,0,0,-2.4149331,-3.577185,0,0,0,0,0
