Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
343.06861,42.450861,65.786074,19.115648
344.06881,42.868827,66.255131,19.482523
345.06901,43.286793,66.724198,19.849389
346.06921,43.704759,67.193274,20.216245
347.06941,44.122726,67.66236,20.583091
348.06961,44.540692,68.131455,20.949929
349.06981,44.958658,68.600559,21.316757
350.07001,45.376624,69.069673,21.683576
351.07021,45.794591,69.538796,22.050385
352.07041,46.212557,70.007927,22.417186
353.07061,46.630523,70.477068,22.783978
354.07081,47.048489,70.946218,23.15076
355.07101,47.466455,71.415377,23.517534
356.07121,47.884422,71.884545,23.884298
357.07141,48.302388,72.353721,24.251054
358.07161,48.720354,72.822907,24.617801
359.07181,49.13832,73.292101,24.98454
360.07201,49.556286,73.761303,25.35127
361.07221,49.974253,74.230515,25.717991
362.07241,50.392219,74.699734,26.084703
363.07261,50.810185,75.168963,26.451408
364.07281,51.228151,75.638199,26.818103
365.07301,51.646118,76.107445,27.18479
366.07321,52.064084,76.576698,27.551469
367.07341,52.48205,77.04596,27.91814
368.07361,52.900016,77.51523,28.284803
369.07381,53.317982,77.984508,28.651457
370.07401,53.735949,78.453794,29.018103
371.07421,54.153915,78.923088,29.384741
372.07441,54.571881,79.392391,29.751371
373.07461,54.989847,79.861701,30.117993
374.07481,55.407813,80.331019,30.484607
375.07502,55.82578,80.800346,30.851214
376.07522,56.243746,81.26968,31.217812
377.07542,56.661712,81.739021,31.584403
378.07562,57.079678,82.208371,31.950986
379.07582,57.497644,82.677728,32.317561
380.07602,57.915611,83.147093,32.684129
381.07622,58.333577,83.616465,33.050689
382.07642,58.751543,84.085845,33.417241
383.07662,59.169509,84.555233,33.783786
384.07682,59.587476,85.024627,34.150324
385.07702,60.005442,85.49403,34.516854
386.07722,60.423408,85.963439,34.883376
387.07742,60.841374,86.432856,35.249892
388.07762,61.25934,86.902281,35.6164
389.07782,61.677307,87.371712,35.982901
390.07802,62.095273,87.841151,36.349395
391.07822,62.513239,88.310597,36.715881
392.07842,62.931205,88.78005,37.082361
393.07862,63.349171,89.24951,37.448833
394.07882,63.767138,89.718977,37.815298
395.07902,64.185104,90.188451,38.181757
396.07922,64.60307,90.657932,38.548208
397.07942,65.021036,91.12742,38.914653
398.07962,65.439003,91.596914,39.281091
399.07982,65.856969,92.066416,39.647522
400.08002,66.274935,92.535924,40.013946
401.08022,66.692901,93.005439,40.380363
402.08042,67.110867,93.474961,40.746774
403.08062,67.53441,93.945317,41.123503
404.08082,68.021537,94.425362,41.617712
405.08102,68.508664,94.905856,42.111472
406.08122,68.995791,95.386799,42.604783
407.08142,69.482918,95.868192,43.097644
408.08162,69.970045,96.350035,43.590054
409.08182,70.457172,96.832329,44.082015
410.08202,70.944299,97.315073,44.573524
411.08222,71.431425,97.798268,45.064583
412.08242,71.918552,98.281913,45.555191
413.08262,72.405679,98.76601,46.045348
414.08282,72.892806,99.250559,46.535053
