Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
1697.9999,376.65996,0,0,0,0,0,0,38.552291,0,0,0,0,26.394335,134.49888,0,0,0,0,0,0
1698.9999,376.65737,0,0,0,0,0,0,38.552027,0,0,0,0,26.394154,134.49795,0,0,0,0,0,0
1699.9999,376.65478,0,0,0,0,0,0,38.551762,0,0,0,0,26.393972,134.49703,0,0,0,0,0,0
1700.9999,376.6522,0,0,0,0,0,0,38.551497,0,0,0,0,26.393791,134.49611,0,0,0,0,0,0
1701.9999,376.64961,0,0,0,0,0,0,38.551232,0,0,0,0,26.39361,134.49518,0,0,0,0,0,0
1702.9999,376.64702,0,0,0,0,0,0,38.550968,0,0,0,0,26.393429,134.49426,0,0,0,0,0,0
1703.9999,376.64453,0,0,0,0,0,0,38.550712,0,0,0,0,26.393254,134.49337,0,0,0,0,0,0
1704.9999,376.64204,0,0,0,0,0,0,38.550457,0,0,0,0,26.393079,134.49248,0,0,0,0,0,0
1705.9999,376.63954,0,0,0,0,0,0,38.550202,0,0,0,0,26.392904,134.49159,0,0,0,0,0,0
1706.9999,376.63705,0,0,0,0,0,0,38.549947,0,0,0,0,26.39273,134.4907,0,0,0,0,0,0
1707.9999,376.63456,0,0,0,0,0,0,38.549691,0,0,0,0,26.392555,134.48981,0,0,0,0,0,0
1708.9999,376.63206,0,0,0,0,0,0,38.549436,0,0,0,0,26.39238,134.48892,0,0,0,0,0,0
1709.9999,376.62957,0,0,0,0,0,0,38.549181,0,0,0,0,26.392205,134.48803,0,0,0,0,0,0
1710.9999,376.62707,0,0,0,0,0,0,38.548926,0,0,0,0,26.392031,134.48713,0,0,0,0,0,0
1711.9999,376.62458,0,0,0,0,0,0,38.548671,0,0,0,0,26.391856,134.48624,0,0,0,0,0,0
1712.9999,376.62209,0,0,0,0,0,0,38.548415,0,0,0,0,26.391681,134.48535,0,0,0,0,0,0
1713.9999,376.61959,0,0,0,0,0,0,38.54816,0,0,0,0,26.391506,134.48446,0,0,0,0,0,0
1714.9999,376.6171,0,0,0,0,0,0,38.547905,0,0,0,0,26.391332,134.48357,0,0,0,0,0,0
1715.9999,376.61461,0,0,0,0,0,0,38.54765,0,0,0,0,26.391157,134.48268,0,0,0,0,0,0
1716.9999,376.61211,0,0,0,0,0,0,38.547395,0,0,0,0,26.390982,134.48179,0,0,0,0,0,0
1717.9999,376.60962,0,0,0,0,0,0,38.547139,0,0,0,0,26.390808,134.4809,0,0,0,0,0,0
1718.9999,376.60713,0,0,0,0,0,0,38.546884,0,0,0,0,26.390633,134.48001,0,0,0,0,0,0
1719.9999,376.60463,0,0,0,0,0,0,38.546629,0,0,0,0,26.390458,134.47912,0,0,0,0,0,0
1720.9999,376.60214,0,0,0,0,0,0,38.546374,0,0,0,0,26.390283,134.47823,0,0,0,0,0,0
1721.9999,376.59965,0,0,0,0,0,0,38.546118,0,0,0,0,26.390109,134.47734,0,0,0,0,0,0
1722.9999,376.59715,0,0,0,0,0,0,38.545863,0,0,0,0,26.389934,134.47645,0,0,0,0,0,0
1723.9999,376.59466,0,0,0,0,0,0,38.545608,0,0,0,0,26.389759,134.47556,0,0,0,0,0,0
1724.9999,376.59217,0,0,0,0,0,0,38.545353,0,0,0,0,26.389584,134.47467,0,0,0,0,0,0
1725.9999,376.58967,0,0,0,0,0,0,38.545098,0,0,0,0,26.38941,134.47378,0,0,0,0,0,0
1726.9999,376.58718,0,0,0,0,0,0,38.544842,0,0,0,0,26.389235,134.47289,0,0,0,0,0,0
1727.9999,376.58468,0,0,0,0,0,0,38.544587,0,0,0,0,26.38906,134.472,0,0,0,0,0,0
1728.9999,376.58219,0,0,0,0,0,0,38.544332,0,0,0,0,26.388885,134.47111,0,0,0,0,0,0
1729.9999,376.5797,0,0,0,0,0,0,38.544077,0,0,0,0,26.388711,134.47022,0,0,0,0,0,0
1730.9999,376.5772,0,0,0,0,0,0,38.543821,0,0,0,0,26.388536,134.46933,0,0,0,0,0,0
1731.9999,376.57471,0,0,0,0,0,0,38.543566,0,0,0,0,26.388361,134.46844,0,0,0,0,0,0
1732.9999,376.57222,0,0,0,0,0,0,38.543311,0,0,0,0,26.388187,134.46755,0,0,0,0,0,0
1733.9999,376.56972,0,0,0,0,0,0,38.543056,0,0,0,0,26.388012,134.46666,0,0,0,0,0,0
1734.9999,376.56723,0,0,0,0,0,0,38.542801,0,0,0,0,26.387837,134.46577,0,0,0,0,0,0
1735.9999,376.56474,0,0,0,0,0,0,38.542545,0,0,0,0,26.387662,134.46487,0,0,0,0,0,0
1736.9999,376.56224,0,0,0,0,0,0,38.54229,0,0,0,0,26.387488,134.46398,0,0,0,0,0,0
1737.9999,376.55975,0,0,0,0,0,0,38.542035,0,0,0,0,26.387313,134.46309,0,0,0,0,0,0
1738.9999,376.55726,0,0,0,0,0,0,38.54178,0,0,0,0,26.387138,134.4622,0,0,0,0,0,0
1739.9999,376.55476,0,0,0,0,0,0,38.541524,0,0,0,0,26.386963,134.46131,0,0,0,0,0,0
1740.9999,376.55227,0,0,0,0,0,0,38.541269,0,0,0,0,26.386789,134.46042,0,0,0,0,0,0
1741.9999,376.54978,0,0,0,0,0,0,38.541014,0,0,0,0,26.386614,134.45953,0,0,0,0,0,0
1742.9999,376.54728,0,0,0,0,0,0,38.540759,0,0,0,0,26.386439,134.45864,0,0,0,0,0,0
1743.9999,376.54479,0,0,0,0,0,0,38.540504,0,0,0,0,26.386264,134.45775,0,0,0,0,0,0
1744.9999,376.54229,0,0,0,0,0,0,38.540248,0,0,0,0,26.38609,134.45686,0,0,0,0,0,0
1745.9999,376.5398,0,0,0,0,0,0,38.539993,0,0,0,0,26.385915,134.45597,0,0,0,0,0,0
1746.9999,376.53731,0,0,0,0,0,0,38.539738,0,0,0,0,26.38574,134.45508,0,0,0,0,0,0
