Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa)
169,35.024554,0,0,0,1.5688687,0,0,2.1066563,11.021646,0,0,0,0,0,0,0,0
170,35.319138,0,0,0,1.5820642,0,0,2.1243749,11.114347,0,0,0,0,0,0,0,0
171,35.613722,0,0,0,1.5952596,0,0,2.1420935,11.207048,0,0,0,0,0,0,0,0
172,35.908306,0,0,0,1.608455,0,0,2.1598122,11.299749,0,0,0,0,0,0,0,0
173,36.20289,0,0,0,1.6216504,0,0,2.1775308,11.392449,0,0,0,0,0,0,0,0
174,36.497474,0,0,0,1.6348459,0,0,2.1952494,11.48515,0,0,0,0,0,0,0,0
175,36.792059,0,0,0,1.6480413,0,0,2.2129681,11.577851,0,0,0,0,0,0,0,0
176,37.086643,0,0,0,1.6612367,0,0,2.2306867,11.670551,0,0,0,0,0,0,0,0
177,37.381227,0,0,0,1.6744321,0,0,2.2484054,11.763252,0,0,0,0,0,0,0,0
178,37.675811,0,0,0,1.6876275,0,0,2.266124,11.855953,0,0,0,0,0,0,0,0
179,37.970395,0,0,0,1.700823,0,0,2.2838426,11.948654,0,0,0,0,0,0,0,0
180,38.264979,0,0,0,1.7140184,0,0,2.3015613,12.041354,0,0,0,0,0,0,0,0
181,38.559563,0,0,0,1.7272138,0,0,2.3192799,12.134055,0,0,0,0,0,0,0,0
182,38.854147,0,0,0,1.7404092,0,0,2.3369986,12.226756,0,0,0,0,0,0,0,0
183,39.148731,0,0,0,1.7536047,0,0,2.3547172,12.319457,0,0,0,0,0,0,0,0
184,39.443315,0,0,0,1.7668001,0,0,2.3724358,12.412157,0,0,0,0,0,0,0,0
185,39.737899,0,0,0,1.7799955,0,0,2.3901545,12.504858,0,0,0,0,0,0,0,0
186,40.032483,0,0,0,1.7931909,0,0,2.4078731,12.597559,0,0,0,0,0,0,0,0
187,40.327068,0,0,0,1.8063863,0,0,2.4255917,12.690259,0,0,0,0,0,0,0,0
188,40.621652,0,0,0,1.8195818,0,0,2.4433104,12.78296,0,0,0,0,0,0,0,0
189,40.916236,0,0,0,1.8327772,0,0,2.461029,12.875661,0,0,0,0,0,0,0,0
190,41.21082,0,0,0,1.8459726,0,0,2.4787477,12.968362,0,0,0,0,0,0,0,0
191,41.505404,0,0,0,1.859168,0,0,2.4964663,13.061062,0,0,0,0,0,0,0,0
192,41.799988,0,0,0,1.8723634,0,0,2.5141849,13.153763,0,0,0,0,0,0,0,0
193,42.094572,0,0,0,1.8855589,0,0,2.5319036,13.246464,0,0,0,0,0,0,0,0
194,42.389156,0,0,0,1.8987543,0,0,2.5496222,13.339164,0,0,0,0,0,0,0,0
195,42.68374,0,0,0,1.9119497,0,0,2.5673408,13.431865,0,0,0,0,0,0,0,0
196,42.978324,0,0,0,1.9251451,0,0,2.5850595,13.524566,0,0,0,0,0,0,0,0
197,43.272908,0,0,0,1.9383406,0,0,2.6027781,13.617267,0,0,0,0,0,0,0,0
198,43.567492,0,0,0,1.951536,0,0,2.6204968,13.709967,0,0,0,0,0,0,0,0
199,43.862077,0,0,0,1.9647314,0,0,2.6382154,13.802668,0,0,0,0,0,0,0,0
200,44.156661,0,0,0,1.9779268,0,0,2.655934,13.895369,0,0,0,0,0,0,0,0
201,44.451245,0,0,0,1.9911222,0,0,2.6736527,13.98807,0,0,0,0,0,0,0,0
202,44.745829,0,0,0,2.0043177,0,0,2.6913713,14.08077,0,0,0,0,0,0,0,0
203,45.040413,0,0,0,2.0175131,0,0,2.70909,14.173471,0,0,0,0,0,0,0,0
204,45.334997,0,0,0,2.0307085,0,0,2.7268086,14.266172,0,0,0,0,0,0,0,0
205,45.629581,0,0,0,2.0439039,0,0,2.7445272,14.358872,0,0,0,0,0,0,0,0
206,45.924165,0,0,0,2.0570993,0,0,2.7622459,14.451573,0,0,0,0,0,0,0,0
207,46.218749,0,0,0,2.0702948,0,0,2.7799645,14.544274,0,0,0,0,0,0,0,0
208,46.513333,0,0,0,2.0834902,0,0,2.7976831,14.636975,0,0,0,0,0,0,0,0
209,46.807917,0,0,0,2.0966856,0,0,2.8154018,14.729675,0,0,0,0,0,0,0,0
210,47.102501,0,0,0,2.109881,0,0,2.8331204,14.822376,0,0,0,0,0,0,0,0
211,47.397086,0,0,0,2.1230765,0,0,2.8508391,14.915077,0,0,0,0,0,0,0,0
212,47.69167,0,0,0,2.1362719,0,0,2.8685577,15.007778,0,0,0,0,0,0,0,0
213,47.986254,0,0,0,2.1494673,0,0,2.8862763,15.100478,0,0,0,0,0,0,0,0
214,48.280838,0,0,0,2.1626627,0,0,2.903995,15.193179,0,0,0,0,0,0,0,0
215,48.575422,0,0,0,2.1758581,0,0,2.9217136,15.28588,0,0,0,0,0,0,0,0
216,48.870006,0,0,0,2.1890536,0,0,2.9394322,15.37858,0,0,0,0,0,0,0,0
217,49.16459,0,0,0,2.202249,0,0,2.9571509,15.471281,0,0,0,0,0,0,0,0
218,49.459174,0,0,0,2.2154444,0,0,2.9748695,15.563982,0,0,0,0,0,0,0,0
219,49.753758,0,0,0,2.2286398,0,0,2.9925882,15.656683,0,0,0,0,0,0,0,0
220,50.048342,0,0,0,2.2418353,0,0,3.0103068,15.749383,0,0,0,0,0,0,0,0
221,50.342926,0,0,0,2.2550307,0,0,3.0280254,15.842084,0,0,0,0,0,0,0,0
222,50.63751,0,0,0,2.2682261,0,0,3.0457441,15.934785,0,0,0,0,0,0,0,0
223,50.932094,0,0,0,2.2814215,0,0,3.0634627,16.027486,0,0,0,0,0,0,0,0
224,51.226679,0,0,0,2.2946169,0,0,3.0811814,16.120186,0,0,0,0,0,0,0,0
225,51.521263,0,0,0,2.3078124,0,0,3.0989,16.212887,0,0,0,0,0,0,0,0
226,51.815847,0,0,0,2.3210078,0,0,3.1166186,16.305588,0,0,0,0,0,0,0,0
227,52.110431,0,0,0,2.3342032,0,0,3.1343373,16.398288,0,0,0,0,0,0,0,0
228,52.405015,0,0,0,2.3473986,0,0,3.1520559,16.490989,0,0,0,0,0,0,0,0
229,52.699599,0,0,0,2.360594,0,0,3.1697745,16.58369,0,0,0,0,0,0,0,0
230,52.994183,0,0,0,2.3737895,0,0,3.1874932,16.676391,0,0,0,0,0,0,0,0
231,53.288767,0,0,0,2.3869849,0,0,3.2052118,16.769091,0,0,0,0,0,0,0,0
232,53.583351,0,0,0,2.4001803,0,0,3.2229305,16.861792,0,0,0,0,0,0,0,0
233,53.877935,0,0,0,2.4133757,0,0,3.2406491,16.954493,0,0,0,0,0,0,0,0
234,54.172519,0,0,0,2.4265712,0,0,3.2583677,17.047194,0,0,0,0,0,0,0,0
235,54.467103,0,0,0,2.4397666,0,0,3.2760864,17.139894,0,0,0,0,0,0,0,0
236,54.761688,0,0,0,2.452962,0,0,3.293805,17.232595,0,0,0,0,0,0,0,0
237,55.056272,0,0,0,2.4661574,0,0,3.3115236,17.325296,0,0,0,0,0,0,0,0
238,55.350856,0,0,0,2.4793528,0,0,3.3292423,17.417996,0,0,0,0,0,0,0,0
239,55.64544,0,0,0,2.4925483,0,0,3.3469609,17.510697,0,0,0,0,0,0,0,0
240,55.940024,0,0,0,2.5057437,0,0,3.3646796,17.603398,0,0,0,0,0,0,0,0
241,56.234608,0,0,0,2.5189391,0,0,3.3823982,17.696099,0,0,0,0,0,0,0,0
242,56.529192,0,0,0,2.5321345,0,0,3.4001168,17.788799,0,0,0,0,0,0,0,0
243,56.823776,0,0,0,2.54533,0,0,3.4178355,17.8815,0,0,0,0,0,0,0,0
244,57.11836,0,0,0,2.5585254,0,0,3.4355541,17.974201,0,0,0,0,0,0,0,0
245,57.412944,0,0,0,2.5717208,0,0,3.4532728,18.066901,0,0,0,0,0,0,0,0
246,57.707528,0,0,0,2.5849162,0,0,3.4709914,18.159602,0,0,0,0,0,0,0,0
