Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
185,28.035766,0,0,0,6.9522646,1.2414392,0,0,2.0241106,0.37212437,0,0,0,0
186,28.371683,0,0,0,7.0355648,1.2563138,0,0,2.0483629,0.37658306,0,0,0,0
187,28.7076,0,0,0,7.118865,1.2711884,0,0,2.0726153,0.38104176,0,0,0,0
188,29.043517,0,0,0,7.2021652,1.286063,0,0,2.0968676,0.38550045,0,0,0,0
189,29.379434,0,0,0,7.2854654,1.3009375,0,0,2.12112,0.38995915,0,0,0,0
190,29.715351,0,0,0,7.3687656,1.3158121,0,0,2.1453724,0.39441785,0,0,0,0
191,30.051268,0,0,0,7.4520658,1.3306867,0,0,2.1696247,0.39887654,0,0,0,0
192,30.387185,0,0,0,7.5353659,1.3455613,0,0,2.1938771,0.40333524,0,0,0,0
193,30.723103,0,0,0,7.6186661,1.3604359,0,0,2.2181294,0.40779393,0,0,0,0
194,31.05902,0,0,0,7.7019663,1.3753105,0,0,2.2423818,0.41225263,0,0,0,0
195,31.394937,0,0,0,7.7852665,1.3901851,0,0,2.2666341,0.41671132,0,0,0,0
196,31.730854,0,0,0,7.8685667,1.4050597,0,0,2.2908865,0.42117002,0,0,0,0
197,32.066771,0,0,0,7.9518669,1.4199343,0,0,2.3151389,0.42562871,0,0,0,0
198,32.402688,0,0,0,8.0351671,1.4348089,0,0,2.3393912,0.43008741,0,0,0,0
199,32.738605,0,0,0,8.1184673,1.4496835,0,0,2.3636436,0.43454611,0,0,0,0
200,33.074522,0,0,0,8.2017675,1.4645581,0,0,2.3878959,0.4390048,0,0,0,0
201,33.410439,0,0,0,8.2850677,1.4794327,0,0,2.4121483,0.4434635,0,0,0,0
202,33.746357,0,0,0,8.3683679,1.4943073,0,0,2.4364006,0.44792219,0,0,0,0
203,34.082274,0,0,0,8.4516681,1.5091819,0,0,2.460653,0.45238089,0,0,0,0
204,34.418191,0,0,0,8.5349683,1.5240565,0,0,2.4849054,0.45683958,0,0,0,0
205,34.754108,0,0,0,8.6182685,1.5389311,0,0,2.5091577,0.46129828,0,0,0,0
206,35.090025,0,0,0,8.7015686,1.5538057,0,0,2.5334101,0.46575698,0,0,0,0
207,35.425942,0,0,0,8.7848688,1.5686803,0,0,2.5576624,0.47021567,0,0,0,0
208,35.761859,0,0,0,8.868169,1.5835549,0,0,2.5819148,0.47467437,0,0,0,0
209,36.097776,0,0,0,8.9514692,1.5984295,0,0,2.6061671,0.47913306,0,0,0,0
210,36.433694,0,0,0,9.0347694,1.613304,0,0,2.6304195,0.48359176,0,0,0,0
211,36.769611,0,0,0,9.1180696,1.6281786,0,0,2.6546718,0.48805045,0,0,0,0
212,37.105528,0,0,0,9.2013698,1.6430532,0,0,2.6789242,0.49250915,0,0,0,0
213,37.441445,0,0,0,9.28467,1.6579278,0,0,2.7031766,0.49696784,0,0,0,0
214,37.777362,0,0,0,9.3679702,1.6728024,0,0,2.7274289,0.50142654,0,0,0,0
215,38.113279,0,0,0,9.4512704,1.687677,0,0,2.7516813,0.50588524,0,0,0,0
216,38.449196,0,0,0,9.5345706,1.7025516,0,0,2.7759336,0.51034393,0,0,0,0
217,38.785113,0,0,0,9.6178708,1.7174262,0,0,2.800186,0.51480263,0,0,0,0
218,39.12103,0,0,0,9.701171,1.7323008,0,0,2.8244383,0.51926132,0,0,0,0
219,39.456948,0,0,0,9.7844712,1.7471754,0,0,2.8486907,0.52372002,0,0,0,0
220,39.792865,0,0,0,9.8677713,1.76205,0,0,2.8729431,0.52817871,0,0,0,0
221,40.128782,0,0,0,9.9510715,1.7769246,0,0,2.8971954,0.53263741,0,0,0,0
222,40.464699,0,0,0,10.034372,1.7917992,0,0,2.9214478,0.53709611,0,0,0,0
223,40.800616,0,0,0,10.117672,1.8066738,0,0,2.9457001,0.5415548,0,0,0,0
224,41.136533,0,0,0,10.200972,1.8215484,0,0,2.9699525,0.5460135,0,0,0,0
225,41.47245,0,0,0,10.284272,1.836423,0,0,2.9942048,0.55047219,0,0,0,0
226,41.808367,0,0,0,10.367573,1.8512976,0,0,3.0184572,0.55493089,0,0,0,0
227,42.144284,0,0,0,10.450873,1.8661722,0,0,3.0427096,0.55938958,0,0,0,0
228,42.480202,0,0,0,10.534173,1.8810468,0,0,3.0669619,0.56384828,0,0,0,0
229,42.816119,0,0,0,10.617473,1.8959214,0,0,3.0912143,0.56830697,0,0,0,0
230,43.152036,0,0,0,10.700773,1.910796,0,0,3.1154666,0.57276567,0,0,0,0
231,43.487953,0,0,0,10.784073,1.9256705,0,0,3.139719,0.57722437,0,0,0,0
232,43.82387,0,0,0,10.867374,1.9405451,0,0,3.1639713,0.58168306,0,0,0,0
233,44.159787,0,0,0,10.950674,1.9554197,0,0,3.1882237,0.58614176,0,0,0,0
234,44.495704,0,0,0,11.033974,1.9702943,0,0,3.2124761,0.59060045,0,0,0,0
