Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
68,2.4254585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52751791,1.0906929,0.57166417,0,0,0,0,0,0.34778207,1.2731343,2.0357961,0.90682329,0,0,0,0,0,0,0.22024754,0.36407037,0,0,0,0,0,0,0,0,0,0,0
69,2.5236305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54886954,1.1348394,0.59480264,0,0,0,0,0,0.36185878,1.3246653,2.1181963,0.94352755,0,0,0,0,0,0,0.2291622,0.37880635,0,0,0,0,0,0,0,0,0,0,0
70,2.6218025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57022116,1.1789859,0.61794112,0,0,0,0,0,0.37593548,1.3761962,2.2005964,0.9802318,0,0,0,0,0,0,0.23807686,0.39354233,0,0,0,0,0,0,0,0,0,0,0
71,2.7199745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59157279,1.2231324,0.64107959,0,0,0,0,0,0.39001218,1.4277271,2.2829966,1.0169361,0,0,0,0,0,0,0.24699151,0.40827832,0,0,0,0,0,0,0,0,0,0,0
72,2.8181465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61292441,1.2672789,0.66421806,0,0,0,0,0,0.40408888,1.4792581,2.3653967,1.0536403,0,0,0,0,0,0,0.25590617,0.4230143,0,0,0,0,0,0,0,0,0,0,0
73,2.9163185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63427603,1.3114254,0.68735653,0,0,0,0,0,0.41816558,1.530789,2.4477969,1.0903446,0,0,0,0,0,0,0.26482083,0.43775028,0,0,0,0,0,0,0,0,0,0,0
74,3.0144904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65562766,1.3555718,0.71049501,0,0,0,0,0,0.43224228,1.5823199,2.530197,1.1270488,0,0,0,0,0,0,0.27373549,0.45248626,0,0,0,0,0,0,0,0,0,0,0
75,3.1126624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67697928,1.3997183,0.73363348,0,0,0,0,0,0.44631899,1.6338508,2.6125972,1.1637531,0,0,0,0,0,0,0.28265015,0.46722224,0,0,0,0,0,0,0,0,0,0,0
76,3.2108344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69833091,1.4438648,0.75677195,0,0,0,0,0,0.46039569,1.6853818,2.6949973,1.2004573,0,0,0,0,0,0,0.29156481,0.48195822,0,0,0,0,0,0,0,0,0,0,0
77,3.3090064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71968253,1.4880113,0.77991042,0,0,0,0,0,0.47447239,1.7369127,2.7773975,1.2371616,0,0,0,0,0,0,0.30047947,0.4966942,0,0,0,0,0,0,0,0,0,0,0
