Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
76,-95.414426,0,0,0,0,0,0,0,0,-15.728887,-9.4894586,0,0,0,0,0,-17.714334,-70.233874,-69.941668,0,0,0,0,0,-1.7885719,-11.645395,0,0,0,0,0,0,0,0,0
77,-95.405929,0,0,0,0,0,0,0,0,-15.727486,-9.4886135,0,0,0,0,0,-17.712756,-70.227619,-69.935439,0,0,0,0,0,-1.7884126,-11.644358,0,0,0,0,0,0,0,0,0
78,-95.397431,0,0,0,0,0,0,0,0,-15.726085,-9.4877684,0,0,0,0,0,-17.711178,-70.221363,-69.92921,0,0,0,0,0,-1.7882533,-11.643321,0,0,0,0,0,0,0,0,0
79,-95.388933,0,0,0,0,0,0,0,0,-15.724684,-9.4869232,0,0,0,0,0,-17.709601,-70.215108,-69.922981,0,0,0,0,0,-1.788094,-11.642283,0,0,0,0,0,0,0,0,0
80,-95.380435,0,0,0,0,0,0,0,0,-15.723283,-9.4860781,0,0,0,0,0,-17.708023,-70.208853,-69.916752,0,0,0,0,0,-1.7879347,-11.641246,0,0,0,0,0,0,0,0,0
81,-95.371938,0,0,0,0,0,0,0,0,-15.721882,-9.4852329,0,0,0,0,0,-17.706445,-70.202598,-69.910522,0,0,0,0,0,-1.7877754,-11.640209,0,0,0,0,0,0,0,0,0
82,-95.36344,0,0,0,0,0,0,0,0,-15.720482,-9.4843878,0,0,0,0,0,-17.704868,-70.196343,-69.904293,0,0,0,0,0,-1.7876161,-11.639172,0,0,0,0,0,0,0,0,0
83,-95.354942,0,0,0,0,0,0,0,0,-15.719081,-9.4835427,0,0,0,0,0,-17.70329,-70.190088,-69.898064,0,0,0,0,0,-1.7874568,-11.638135,0,0,0,0,0,0,0,0,0
84,-95.346445,0,0,0,0,0,0,0,0,-15.71768,-9.4826975,0,0,0,0,0,-17.701712,-70.183833,-69.891835,0,0,0,0,0,-1.7872975,-11.637098,0,0,0,0,0,0,0,0,0
85,-95.337947,0,0,0,0,0,0,0,0,-15.716279,-9.4818524,0,0,0,0,0,-17.700135,-70.177578,-69.885606,0,0,0,0,0,-1.7871382,-11.636061,0,0,0,0,0,0,0,0,0
86,-95.329449,0,0,0,0,0,0,0,0,-15.714878,-9.4810073,0,0,0,0,0,-17.698557,-70.171323,-69.879377,0,0,0,0,0,-1.7869789,-11.635023,0,0,0,0,0,0,0,0,0
87,-95.320952,0,0,0,0,0,0,0,0,-15.713477,-9.4801621,0,0,0,0,0,-17.696979,-70.165068,-69.873148,0,0,0,0,0,-1.7868197,-11.633986,0,0,0,0,0,0,0,0,0
88,-95.312454,0,0,0,0,0,0,0,0,-15.712077,-9.479317,0,0,0,0,0,-17.695402,-70.158813,-69.866919,0,0,0,0,0,-1.7866604,-11.632949,0,0,0,0,0,0,0,0,0
89,-95.303956,0,0,0,0,0,0,0,0,-15.710676,-9.4784718,0,0,0,0,0,-17.693824,-70.152558,-69.86069,0,0,0,0,0,-1.7865011,-11.631912,0,0,0,0,0,0,0,0,0
90,-95.295459,0,0,0,0,0,0,0,0,-15.709275,-9.4776267,0,0,0,0,0,-17.692246,-70.146302,-69.854461,0,0,0,0,0,-1.7863418,-11.630875,0,0,0,0,0,0,0,0,0
91,-95.286961,0,0,0,0,0,0,0,0,-15.707874,-9.4767816,0,0,0,0,0,-17.690669,-70.140047,-69.848232,0,0,0,0,0,-1.7861825,-11.629838,0,0,0,0,0,0,0,0,0
92,-95.278463,0,0,0,0,0,0,0,0,-15.706473,-9.4759364,0,0,0,0,0,-17.689091,-70.133792,-69.842003,0,0,0,0,0,-1.7860232,-11.6288,0,0,0,0,0,0,0,0,0
93,-95.269966,0,0,0,0,0,0,0,0,-15.705072,-9.4750913,0,0,0,0,0,-17.687513,-70.127537,-69.835774,0,0,0,0,0,-1.7858639,-11.627763,0,0,0,0,0,0,0,0,0
