Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.26 mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.87 mm (kPa),Stress at 2.06 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.44 mm (kPa),Stress at 2.66 mm (kPa),Stress at 2.86 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.26 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.66 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.24 mm (kPa),Stress at 4.45 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.84 mm (kPa)
44,12.017307,10.710274,10.919106,5.4557192,4.241839,3.0492264,2.4039572,1.9035909,1.4639332,1.159012,0.95846135,0.75022377,0.55585958,0.47375683,0.45961773,0,0,0,0,0,0,0,0,0,0
45,12.188536,10.86288,11.074687,5.5334553,4.3022791,3.0926734,2.4382101,1.9307143,1.4847922,1.1755262,0.97211803,0.76091337,0.56377977,0.48050718,0.46616662,0,0,0,0,0,0,0,0,0,0
46,12.359765,11.015486,11.230268,5.6111914,4.3627191,3.1361205,2.472463,1.9578378,1.5056511,1.1920404,0.98577472,0.77160298,0.57169997,0.48725753,0.4727155,0,0,0,0,0,0,0,0,0,0
47,12.530994,11.168092,11.38585,5.6889275,4.4231592,3.1795675,2.506716,1.9849612,1.52651,1.2085547,0.9994314,0.78229258,0.57962016,0.49400788,0.47926439,0,0,0,0,0,0,0,0,0,0
48,12.702224,11.320698,11.541431,5.7666636,4.4835993,3.2230146,2.5409689,2.0120846,1.5473689,1.2250689,1.0130881,0.79298218,0.58754035,0.50075823,0.48581328,0,0,0,0,0,0,0,0,0,0
49,12.873453,11.473303,11.697013,5.8443996,4.5440393,3.2664616,2.5752218,2.039208,1.5682279,1.2415832,1.0267448,0.80367178,0.59546055,0.50750858,0.49236216,0,0,0,0,0,0,0,0,0,0
50,13.044682,11.625909,11.852594,5.9221357,4.6044794,3.3099087,2.6094747,2.0663314,1.5890868,1.2580974,1.0404015,0.81436138,0.60338074,0.51425892,0.49891105,0,0,0,0,0,0,0,0,0,0
51,13.215911,11.778515,12.008176,5.9998718,4.6649194,3.3533558,2.6437276,2.0934548,1.6099457,1.2746116,1.0540581,0.82505098,0.61130093,0.52100927,0.50545994,0,0,0,0,0,0,0,0,0,0
52,13.38714,11.931121,12.163757,6.0776079,4.7253595,3.3968028,2.6779805,2.1205782,1.6308047,1.2911259,1.0677148,0.83574059,0.61922113,0.52775962,0.51200882,0,0,0,0,0,0,0,0,0,0
53,13.55837,12.083727,12.319339,6.155344,4.7857996,3.4402499,2.7122334,2.1477016,1.6516636,1.3076401,1.0813715,0.84643019,0.62714132,0.53450997,0.51855771,0,0,0,0,0,0,0,0,0,0
54,13.729599,12.236333,12.47492,6.2330801,4.8462396,3.4836969,2.7464863,2.174825,1.6725225,1.3241544,1.0950282,0.85711979,0.63506151,0.54126032,0.5251066,0,0,0,0,0,0,0,0,0,0
55,13.900828,12.388939,12.630501,6.3108162,4.9066797,3.527144,2.7807392,2.2019485,1.6933814,1.3406686,1.1086849,0.86780939,0.64298171,0.54801067,0.53165548,0,0,0,0,0,0,0,0,0,0
56,14.072057,12.541545,12.786083,6.3885523,4.9671197,3.570591,2.8149921,2.2290719,1.7142404,1.3571829,1.1223416,0.87849899,0.6509019,0.55476101,0.53820437,0,0,0,0,0,0,0,0,0,0
57,14.243286,12.694151,12.941664,6.4662884,5.0275598,3.6140381,2.849245,2.2561953,1.7350993,1.3736971,1.1359983,0.8891886,0.6588221,0.56151136,0.54475326,0,0,0,0,0,0,0,0,0,0
58,14.414516,12.846756,13.097246,6.5440245,5.0879999,3.6574852,2.8834979,2.2833187,1.7559582,1.3902113,1.1496549,0.8998782,0.66674229,0.56826171,0.55130214,0,0,0,0,0,0,0,0,0,0
59,14.585745,12.999362,13.252827,6.6217606,5.1484399,3.7009322,2.9177508,2.3104421,1.7768172,1.4067256,1.1633116,0.9105678,0.67466248,0.57501206,0.55785103,0,0,0,0,0,0,0,0,0,0
60,14.756974,13.151968,13.408409,6.6994967,5.20888,3.7443793,2.9520038,2.3375655,1.7976761,1.4232398,1.1769683,0.9212574,0.68258268,0.58176241,0.56439992,0,0,0,0,0,0,0,0,0,0
61,14.928203,13.304574,13.56399,6.7772328,5.26932,3.7878263,2.9862567,2.3646889,1.818535,1.4397541,1.190625,0.931947,0.69050287,0.58851276,0.5709488,0,0,0,0,0,0,0,0,0,0
62,15.099432,13.45718,13.719571,6.8549689,5.3297601,3.8312734,3.0205096,2.3918123,1.8393939,1.4562683,1.2042817,0.9426366,0.69842306,0.59526311,0.57749769,0,0,0,0,0,0,0,0,0,0
63,15.270662,13.609786,13.875153,6.9327049,5.3902002,3.8747204,3.0547625,2.4189358,1.8602529,1.4727825,1.2179384,0.95332621,0.70634326,0.60201345,0.58404658,0,0,0,0,0,0,0,0,0,0
64,15.441891,13.762392,14.030734,7.010441,5.4506402,3.9181675,3.0890154,2.4460592,1.8811118,1.4892968,1.2315951,0.96401581,0.71426345,0.6087638,0.59059546,0,0,0,0,0,0,0,0,0,0
65,15.61312,13.914998,14.186316,7.0881771,5.5110803,3.9616146,3.1232683,2.4731826,1.9019707,1.505811,1.2452517,0.97470541,0.72218364,0.61551415,0.59714435,0,0,0,0,0,0,0,0,0,0
66,15.784349,14.067603,14.341897,7.1659132,5.5715203,4.0050616,3.1575212,2.500306,1.9228296,1.5223253,1.2589084,0.98539501,0.73010384,0.6222645,0.60369324,0,0,0,0,0,0,0,0,0,0
