Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa)
48,2.1957565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057553491,0.45945916,1.4467157,0.17688782,0.011269218,0,0,0.016396054,0.3305042,0.67694501,0.12345751,0.0050492405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2.3465303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061505458,0.49100837,1.5460558,0.18903399,0.01204303,0,0,0.017521906,0.35319859,0.7234281,0.13193485,0.0053959516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2.4973041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065457425,0.52255759,1.645396,0.20118017,0.012816842,0,0,0.018647757,0.37589299,0.76991119,0.14041218,0.0057426627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2.6480778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069409392,0.5541068,1.7447361,0.21332634,0.013590654,0,0,0.019773608,0.39858738,0.81639429,0.14888951,0.0060893737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2.7988516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073361359,0.58565601,1.8440763,0.22547252,0.014364466,0,0,0.020899459,0.42128178,0.86287738,0.15736684,0.0064360848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2.9496254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077313326,0.61720523,1.9434165,0.23761869,0.015138278,0,0,0.02202531,0.44397617,0.90936048,0.16584417,0.0067827959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3.1003992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081265293,0.64875444,2.0427566,0.24976487,0.01591209,0,0,0.023151162,0.46667057,0.95584357,0.1743215,0.0071295069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3.2511729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08521726,0.68030366,2.1420968,0.26191105,0.016685902,0,0,0.024277013,0.48936496,1.0023267,0.18279883,0.007476218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3.4019467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089169227,0.71185287,2.2414369,0.27405722,0.017459714,0,0,0.025402864,0.51205936,1.0488098,0.19127617,0.0078229291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3.5527205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093121194,0.74340209,2.3407771,0.2862034,0.018233526,0,0,0.026528715,0.53475375,1.0952929,0.1997535,0.0081696401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
