Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa)
57,2.0942179,0,0,0,0,0,0,0.2688387,0.35085588,0.052660686,0,0,0,0.16226723,2.0942179,0.45924314,0.041599529,0,0,0,0,0.21443603,0.48455836,0.094150226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2.196607,0,0,0,0,0,0,0.28198257,0.36800968,0.055235336,0,0,0,0.17020068,2.196607,0.48169614,0.043633384,0,0,0,0,0.22492009,0.50824906,0.098753354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2.2989961,0,0,0,0,0,0,0.29512645,0.38516349,0.057809986,0,0,0,0.17813414,2.2989961,0.50414915,0.04566724,0,0,0,0,0.23540415,0.53193975,0.10335648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2.4013851,0,0,0,0,0,0,0.30827033,0.4023173,0.060384637,0,0,0,0.1860676,2.4013851,0.52660215,0.047701096,0,0,0,0,0.24588821,0.55563045,0.10795961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2.5037742,0,0,0,0,0,0,0.32141421,0.4194711,0.062959287,0,0,0,0.19400106,2.5037742,0.54905515,0.049734951,0,0,0,0,0.25637227,0.57932115,0.11256274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2.6061633,0,0,0,0,0,0,0.33455809,0.43662491,0.065533937,0,0,0,0.20193452,2.6061633,0.57150815,0.051768807,0,0,0,0,0.26685633,0.60301184,0.11716587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2.7085523,0,0,0,0,0,0,0.34770196,0.45377871,0.068108588,0,0,0,0.20986797,2.7085523,0.59396115,0.053802663,0,0,0,0,0.27734039,0.62670254,0.121769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2.8109414,0,0,0,0,0,0,0.36084584,0.47093252,0.070683238,0,0,0,0.21780143,2.8109414,0.61641416,0.055836519,0,0,0,0,0.28782445,0.65039323,0.12637213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2.9133305,0,0,0,0,0,0,0.37398972,0.48808633,0.073257888,0,0,0,0.22573489,2.9133305,0.63886716,0.057870374,0,0,0,0,0.29830851,0.67408393,0.13097525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3.0157196,0,0,0,0,0,0,0.3871336,0.50524013,0.075832538,0,0,0,0.23366835,3.0157196,0.66132016,0.05990423,0,0,0,0,0.30879257,0.69777463,0.13557838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
