Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa)
61,-4.3124234,0,0,0,0,0,0,0,0,-0.59733289,-0.710684,0,0,0,0,0,0,-0.93884069,-3.9971149,-2.7690334,-0.16759332,0,0,0,0,-0.51656252,-1.1800975,-0.69468328,0,0,0,0,0,0,0,0,0,0
62,-4.3306676,0,0,0,0,0,0,0,0,-0.59985997,-0.71369063,0,0,0,0,0,0,-0.94281256,-4.0140252,-2.7807481,-0.16830235,0,0,0,0,-0.51874789,-1.18509,-0.69762222,0,0,0,0,0,0,0,0,0,0
63,-4.3489118,0,0,0,0,0,0,0,0,-0.60238706,-0.71669726,0,0,0,0,0,0,-0.94678444,-4.0309354,-2.7924628,-0.16901137,0,0,0,0,-0.52093327,-1.1900825,-0.70056116,0,0,0,0,0,0,0,0,0,0
64,-4.367156,0,0,0,0,0,0,0,0,-0.60491414,-0.71970389,0,0,0,0,0,0,-0.95075631,-4.0478457,-2.8041776,-0.16972039,0,0,0,0,-0.52311865,-1.1950751,-0.7035001,0,0,0,0,0,0,0,0,0,0
65,-4.3854002,0,0,0,0,0,0,0,0,-0.60744123,-0.72271052,0,0,0,0,0,0,-0.95472818,-4.064756,-2.8158923,-0.17042942,0,0,0,0,-0.52530402,-1.2000676,-0.70643903,0,0,0,0,0,0,0,0,0,0
66,-4.4036444,0,0,0,0,0,0,0,0,-0.60996831,-0.72571715,0,0,0,0,0,0,-0.95870006,-4.0816662,-2.827607,-0.17113844,0,0,0,0,-0.5274894,-1.2050601,-0.70937797,0,0,0,0,0,0,0,0,0,0
67,-4.4218886,0,0,0,0,0,0,0,0,-0.6124954,-0.72872378,0,0,0,0,0,0,-0.96267193,-4.0985765,-2.8393217,-0.17184746,0,0,0,0,-0.52967478,-1.2100527,-0.71231691,0,0,0,0,0,0,0,0,0,0
68,-4.4401328,0,0,0,0,0,0,0,0,-0.61502248,-0.73173041,0,0,0,0,0,0,-0.9666438,-4.1154867,-2.8510364,-0.17255648,0,0,0,0,-0.53186016,-1.2150452,-0.71525585,0,0,0,0,0,0,0,0,0,0
69,-4.458377,0,0,0,0,0,0,0,0,-0.61754957,-0.73473704,0,0,0,0,0,0,-0.97061568,-4.132397,-2.8627511,-0.17326551,0,0,0,0,-0.53404553,-1.2200378,-0.71819478,0,0,0,0,0,0,0,0,0,0
70,-4.4766212,0,0,0,0,0,0,0,0,-0.62007665,-0.73774367,0,0,0,0,0,0,-0.97458755,-4.1493072,-2.8744658,-0.17397453,0,0,0,0,-0.53623091,-1.2250303,-0.72113372,0,0,0,0,0,0,0,0,0,0
71,-4.4948654,0,0,0,0,0,0,0,0,-0.62260374,-0.7407503,0,0,0,0,0,0,-0.97855942,-4.1662175,-2.8861806,-0.17468355,0,0,0,0,-0.53841629,-1.2300228,-0.72407266,0,0,0,0,0,0,0,0,0,0
72,-4.5131096,0,0,0,0,0,0,0,0,-0.62513083,-0.74375693,0,0,0,0,0,0,-0.9825313,-4.1831277,-2.8978953,-0.17539258,0,0,0,0,-0.54060166,-1.2350154,-0.7270116,0,0,0,0,0,0,0,0,0,0
73,-4.5313538,0,0,0,0,0,0,0,0,-0.62765791,-0.74676356,0,0,0,0,0,0,-0.98650317,-4.200038,-2.90961,-0.1761016,0,0,0,0,-0.54278704,-1.2400079,-0.72995053,0,0,0,0,0,0,0,0,0,0
74,-4.549598,0,0,0,0,0,0,0,0,-0.630185,-0.74977019,0,0,0,0,0,0,-0.99047504,-4.2169482,-2.9213247,-0.17681062,0,0,0,0,-0.54497242,-1.2450005,-0.73288947,0,0,0,0,0,0,0,0,0,0
75,-4.5678422,0,0,0,0,0,0,0,0,-0.63271208,-0.75277682,0,0,0,0,0,0,-0.99444692,-4.2338585,-2.9330394,-0.17751964,0,0,0,0,-0.5471578,-1.249993,-0.73582841,0,0,0,0,0,0,0,0,0,0
76,-4.5860864,0,0,0,0,0,0,0,0,-0.63523917,-0.75578345,0,0,0,0,0,0,-0.99841879,-4.2507688,-2.9447541,-0.17822867,0,0,0,0,-0.54934317,-1.2549855,-0.73876735,0,0,0,0,0,0,0,0,0,0
77,-4.6043306,0,0,0,0,0,0,0,0,-0.63776625,-0.75879008,0,0,0,0,0,0,-1.0023907,-4.267679,-2.9564688,-0.17893769,0,0,0,0,-0.55152855,-1.2599781,-0.74170628,0,0,0,0,0,0,0,0,0,0
78,-4.6225748,0,0,0,0,0,0,0,0,-0.64029334,-0.76179671,0,0,0,0,0,0,-1.0063625,-4.2845893,-2.9681836,-0.17964671,0,0,0,0,-0.55371393,-1.2649706,-0.74464522,0,0,0,0,0,0,0,0,0,0
79,-4.640819,0,0,0,0,0,0,0,0,-0.64282042,-0.76480334,0,0,0,0,0,0,-1.0103344,-4.3014995,-2.9798983,-0.18035574,0,0,0,0,-0.5558993,-1.2699631,-0.74758416,0,0,0,0,0,0,0,0,0,0
80,-4.6590632,0,0,0,0,0,0,0,0,-0.64534751,-0.76780997,0,0,0,0,0,0,-1.0143063,-4.3184098,-2.991613,-0.18106476,0,0,0,0,-0.55808468,-1.2749557,-0.7505231,0,0,0,0,0,0,0,0,0,0
