Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa)
134,-22.016482,0,0,0,0,-0.1029008,-0.073476819,0,0,0,-0.79267021,-7.8970652,0,0,0,0
135,-21.806516,0,0,0,0,-0.10191946,-0.07277609,0,0,0,-0.78511072,-7.8217529,0,0,0,0
136,-21.596551,0,0,0,0,-0.10093812,-0.07207536,0,0,0,-0.77755122,-7.7464406,0,0,0,0
137,-21.386585,0,0,0,0,-0.099956785,-0.07137463,0,0,0,-0.76999173,-7.6711284,0,0,0,0
138,-21.176619,0,0,0,0,-0.098975446,-0.070673901,0,0,0,-0.76243224,-7.5958161,0,0,0,0
139,-20.966654,0,0,0,0,-0.097994107,-0.069973171,0,0,0,-0.75487274,-7.5205038,0,0,0,0
140,-20.756688,0,0,0,0,-0.097012769,-0.069272441,0,0,0,-0.74731325,-7.4451915,0,0,0,0
141,-20.546723,0,0,0,0,-0.09603143,-0.068571712,0,0,0,-0.73975376,-7.3698792,0,0,0,0
142,-20.336757,0,0,0,0,-0.095050092,-0.067870982,0,0,0,-0.73219426,-7.2945669,0,0,0,0
143,-20.126792,0,0,0,0,-0.094068753,-0.067170253,0,0,0,-0.72463477,-7.2192546,0,0,0,0
144,-19.916826,0,0,0,0,-0.093087414,-0.066469523,0,0,0,-0.71707528,-7.1439423,0,0,0,0
145,-19.706861,0,0,0,0,-0.092106076,-0.065768793,0,0,0,-0.70951579,-7.06863,0,0,0,0
146,-19.496895,0,0,0,0,-0.091124737,-0.065068064,0,0,0,-0.70195629,-6.9933177,0,0,0,0
147,-19.286929,0,0,0,0,-0.090143399,-0.064367334,0,0,0,-0.6943968,-6.9180055,0,0,0,0
148,-19.076964,0,0,0,0,-0.08916206,-0.063666605,0,0,0,-0.68683731,-6.8426932,0,0,0,0
149,-18.866998,0,0,0,0,-0.088180721,-0.062965875,0,0,0,-0.67927781,-6.7673809,0,0,0,0
150,-18.657033,0,0,0,0,-0.087199383,-0.062265145,0,0,0,-0.67171832,-6.6920686,0,0,0,0
151,-18.447067,0,0,0,0,-0.086218044,-0.061564416,0,0,0,-0.66415883,-6.6167563,0,0,0,0
152,-18.237102,0,0,0,0,-0.085236706,-0.060863686,0,0,0,-0.65659934,-6.541444,0,0,0,0
153,-18.027136,0,0,0,0,-0.084255367,-0.060162956,0,0,0,-0.64903984,-6.4661317,0,0,0,0
154,-17.817171,0,0,0,0,-0.083274028,-0.059462227,0,0,0,-0.64148035,-6.3908194,0,0,0,0
155,-17.607205,0,0,0,0,-0.08229269,-0.058761497,0,0,0,-0.63392086,-6.3155071,0,0,0,0
156,-17.397239,0,0,0,0,-0.081311351,-0.058060768,0,0,0,-0.62636136,-6.2401948,0,0,0,0
157,-17.187274,0,0,0,0,-0.080330013,-0.057360038,0,0,0,-0.61880187,-6.1648825,0,0,0,0
158,-16.977308,0,0,0,0,-0.079348674,-0.056659308,0,0,0,-0.61124238,-6.0895703,0,0,0,0
159,-16.767343,0,0,0,0,-0.078367335,-0.055958579,0,0,0,-0.60368288,-6.014258,0,0,0,0
160,-16.557377,0,0,0,0,-0.077385997,-0.055257849,0,0,0,-0.59612339,-5.9389457,0,0,0,0
161,-16.347412,0,0,0,0,-0.076404658,-0.054557119,0,0,0,-0.5885639,-5.8636334,0,0,0,0
162,-16.137446,0,0,0,0,-0.07542332,-0.05385639,0,0,0,-0.58100441,-5.7883211,0,0,0,0
163,-15.927481,0,0,0,0,-0.074441981,-0.05315566,0,0,0,-0.57344491,-5.7130088,0,0,0,0
164,-15.717515,0,0,0,0,-0.073460642,-0.052454931,0,0,0,-0.56588542,-5.6376965,0,0,0,0
165,-15.50755,0,0,0,0,-0.072479304,-0.051754201,0,0,0,-0.55832593,-5.5623842,0,0,0,0
166,-15.297584,0,0,0,0,-0.071497965,-0.051053471,0,0,0,-0.55076643,-5.4870719,0,0,0,0
167,-15.087618,0,0,0,0,-0.070516627,-0.050352742,0,0,0,-0.54320694,-5.4117596,0,0,0,0
168,-14.877653,0,0,0,0,-0.069535288,-0.049652012,0,0,0,-0.53564745,-5.3364474,0,0,0,0
169,-14.667687,0,0,0,0,-0.068553949,-0.048951282,0,0,0,-0.52808796,-5.2611351,0,0,0,0
170,-14.457722,0,0,0,0,-0.067572611,-0.048250553,0,0,0,-0.52052846,-5.1858228,0,0,0,0
171,-14.247756,0,0,0,0,-0.066591272,-0.047549823,0,0,0,-0.51296897,-5.1105105,0,0,0,0
172,-14.037791,0,0,0,0,-0.065609934,-0.046849094,0,0,0,-0.50540948,-5.0351982,0,0,0,0
173,-13.827825,0,0,0,0,-0.064628595,-0.046148364,0,0,0,-0.49784998,-4.9598859,0,0,0,0
174,-13.61786,0,0,0,0,-0.063647256,-0.045447634,0,0,0,-0.49029049,-4.8845736,0,0,0,0
175,-13.407894,0,0,0,0,-0.062665918,-0.044746905,0,0,0,-0.482731,-4.8092613,0,0,0,0
